date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,90.67,90.71,88.33,88.65,88.39,2644300,2644300,-2.02,-2.23,89.59,"January 07, 25",-0.0223
2025-01-08,88.8,89.09,88.01,88.76,88.5,2362222,2362222,-0.04,-0.04504505,88.665,"January 08, 25",-0.00045045050000000003
2025-01-10,88.25,88.26,86.91,87.53,87.28,2114718,2114718,-0.72,-0.81586,87.7375,"January 10, 25",-0.0081586
2025-01-13,86.3,87.26,86.13,87.24,86.99,1894732,1894732,0.9400000000000001,1.09,86.7325,"January 13, 25",0.0109
2025-01-14,87.85,87.95,86.51,87.03,86.78,1836400,1836400,-0.8200000000000001,-0.9334100000000001,87.335,"January 14, 25",-0.0093341
2025-01-15,88.41,89.26,88.07,89.11,88.85,1918200,1918200,0.7000000000000001,0.7917700000000001,88.7125,"January 15, 25",0.0079177
2025-01-16,89.51,89.57,88.7,88.73,88.47,1447900,1447900,-0.78,-0.87141,89.1275,"January 16, 25",-0.008714099999999999
2025-01-17,89.93,90.26,89.45,89.89,89.63,1978300,1978300,-0.04,-0.04447904,89.8825,"January 17, 25",-0.0004447904
2025-01-21,90.52,90.89,89.85,90.81,90.55,2592100,2592100,0.29,0.32037000000000004,90.5175,"January 21, 25",0.0032037
2025-01-22,91.76,92.19,91.63,91.92,91.65,5132923,5132923,0.16,0.17437000000000002,91.875,"January 22, 25",0.0017437
2025-01-23,91.7,92.37,91.5,92.37,92.1,2362836,2362836,0.67,0.7306400000000001,91.985,"January 23, 25",0.007306399999999999
2025-01-24,92.53,92.76,91.71,92.02,91.75,1702110,1702110,-0.51,-0.55117,92.255,"January 24, 25",-0.0055117
2025-01-27,88.47,89.4,88.02,88.68,88.42,3057700,3057700,0.21,0.23737000000000003,88.6425,"January 27, 25",0.0023737
2025-01-28,89.12,90.57,88.36,90.46,90.2,2734300,2734300,1.34,1.5,89.6275,"January 28, 25",0.015
2025-01-29,90.21,90.27,89.18,89.84,89.58,2197821,2197821,-0.37,-0.41015,89.875,"January 29, 25",-0.0041015
2025-01-30,90.33,90.86,89.59,90.65,90.39,2092000,2092000,0.32,0.35426,90.3575,"January 30, 25",0.0035426
2025-01-31,91.11,91.79,90.06,90.2,89.94,2155398,2155398,-0.91,-0.9987900000000001,90.79,"January 31, 25",-0.0099879
2025-02-03,88.4,89.89,88.13,89.45,89.19,3422200,3422200,1.05,1.19,88.9675,"February 03, 25",0.0119
2025-02-04,89.74,90.49,89.65,90.43,90.17,1629411,1629411,0.6900000000000001,0.7688900000000001,90.0775,"February 04, 25",0.007688899999999999
2025-02-05,90.2,90.81,89.93,90.81,90.55,1373020,1373020,0.61,0.67627,90.4375,"February 05, 25",0.0067627
2025-02-06,91.03,91.54,90.82,91.54,91.27,1800930,1800930,0.51,0.56025,91.2325,"February 06, 25",0.0056025
2025-02-07,91.62,92.0,90.5,90.69,90.43,2018401,2018401,-0.93,-1.02,91.2025,"February 07, 25",-0.0102
2025-02-10,91.12,91.68,91.12,91.45,91.18,1289523,1289523,0.33,0.36216000000000004,91.3425,"February 10, 25",0.0036216
2025-02-11,91.05,91.4,90.7,91.17,90.9,1402270,1402270,0.12,0.1318,91.08,"February 11, 25",0.001318
2025-02-12,90.12,91.17,90.0,90.96,90.7,2212346,2212346,0.84,0.9320900000000001,90.5625,"February 12, 25",0.0093209
2025-02-13,91.1,92.17,90.93,92.12,91.85,2005389,2005389,1.02,1.12,91.58,"February 13, 25",0.0112
2025-02-14,92.15,92.41,91.99,92.33,92.06,1309637,1309637,0.18,0.19533,92.22,"February 14, 25",0.0019533
2025-02-18,92.62,92.73,91.8,92.36,92.09,2271854,2271854,-0.26,-0.28072,92.3775,"February 18, 25",-0.0028071999999999997
2025-02-19,92.12,92.55,91.78,92.39,92.12,1485855,1485855,0.27,0.2931,92.21,"February 19, 25",0.002931
2025-02-20,92.18,92.18,90.99,91.71,91.44,1309946,1309946,-0.47000000000000003,-0.50987,91.765,"February 20, 25",-0.005098699999999999
2025-02-21,91.79,91.87,89.48,89.59,89.33,2074726,2074726,-2.2,-2.4,90.6825,"February 21, 25",-0.024
2025-02-24,90.0,90.22,88.48,88.64,88.38,1542000,1542000,-1.3599999999999999,-1.51,89.335,"February 24, 25",-0.0151
2025-02-25,88.53,88.55,86.8,87.69,87.43,2222713,2222713,-0.84,-0.9488300000000001,87.8925,"February 25, 25",-0.0094883
2025-02-26,88.34,89.25,87.81,88.31,88.05,1967423,1967423,-0.03,-0.033959699999999995,88.4275,"February 26, 25",-0.000339597
2025-02-27,88.97,89.03,85.97,86.03,85.78,1948411,1948411,-2.94,-3.3,87.5,"February 27, 25",-0.033
2025-02-28,85.88,87.68,85.41,87.59,87.33,2337036,2337036,1.71,1.99,86.64,"February 28, 25",0.0199
2025-03-03,87.95,88.12,84.74,85.42,85.17,3080815,3080815,-2.5300000000000002,-2.88,86.5575,"March 03, 25",-0.028800000000000003
2025-03-04,84.46,86.07,83.15,84.6,84.35,7778706,7778706,0.14,0.16576000000000002,84.57,"March 04, 25",0.0016576
2025-03-05,84.7,86.07,84.05,85.77,85.52,2969899,2969899,1.07,1.26,85.1475,"March 05, 25",0.0126
2025-03-06,84.26,85.14,82.95,83.31,83.07,3318200,3318200,-0.9500000000000001,-1.13,83.915,"March 06, 25",-0.011300000000000001
2025-03-07,83.12,83.89,81.55,83.63,83.39,3220823,3220823,0.51,0.6135700000000001,83.0475,"March 07, 25",0.0061357
2025-03-10,82.01,82.14,79.62,80.49,80.26,3601821,3601821,-1.52,-1.85,81.065,"March 10, 25",-0.018500000000000003
2025-03-11,80.26,81.51,79.52,80.34,80.11,4670008,4670008,0.08,0.09967605,80.4075,"March 11, 25",0.0009967605000000001
2025-03-12,81.91,82.21,80.55,81.58,81.34,12940326,12940326,-0.33,-0.40288,81.5625,"March 12, 25",-0.0040288
2025-03-13,81.49,81.54,79.78,80.05,79.82,4149307,4149307,-1.44,-1.77,80.715,"March 13, 25",-0.0177
2025-03-14,81.03,82.23,80.85,82.11,81.87,3000092,3000092,1.08,1.33,81.555,"March 14, 25",0.013300000000000001
2025-03-17,82.03,82.9,81.75,82.36,82.12,1959342,1959342,0.33,0.40229000000000004,82.26,"March 17, 25",0.004022899999999999
2025-03-18,81.85,81.89,80.58,80.96,80.72,2052119,2052119,-0.89,-1.09,81.32,"March 18, 25",-0.0109
2025-03-19,81.44,83.0,81.08,82.22,81.98,2485541,2485541,0.78,0.9577600000000001,81.935,"March 19, 25",0.0095776
2025-03-20,81.57,82.96,81.46,82.01,81.77,1921846,1921846,0.445,0.5394100000000001,82.0,"March 20, 25",0.0053941
2025-03-21,81.32,82.38,81.05,82.26,82.02,1627800,1627800,0.9400000000000001,1.16,81.7525,"March 21, 25",0.011600000000000001
2025-03-24,83.39,84.29,83.35,84.13,84.0,2724100,2724100,0.74,0.8874000000000001,83.79,"March 24, 25",0.008874
2025-03-25,84.39,84.59,84.02,84.5,84.37,1896862,1896862,0.11,0.13035000000000002,84.375,"March 25, 25",0.0013035
2025-03-26,84.3,84.34,82.4,82.68,82.56,1541060,1541060,-1.62,-1.92,83.43,"March 26, 25",-0.019200000000000002
2025-03-27,82.26,83.03,81.88,82.16,82.04,1867548,1867548,-0.1,-0.12157000000000001,82.3325,"March 27, 25",-0.0012157
2025-03-28,81.81,82.05,79.93,80.12,80.0,1922900,1922900,-1.69,-2.07,80.9775,"March 28, 25",-0.0207
2025-03-31,78.75,80.49,78.0,80.37,80.25,2575842,2575842,1.62,2.06,79.4025,"March 31, 25",0.0206
2025-04-01,80.01,81.22,79.55,80.95,80.83,3768145,3768145,0.9400000000000001,1.17,80.4325,"April 01, 25",0.0117
