date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,86.6,86.77,85.79,85.92,84.1,41757200,41757200,-0.68,-0.78522,86.27,"January 07, 25",-0.0078522
2025-01-08,85.47,86.2,85.34,86.03,84.21,44590800,44590800,0.56,0.6552,85.76,"January 08, 25",0.006552
2025-01-10,85.28,85.85,85.16,85.46,83.65,47115832,47115832,0.18,0.21107,85.4375,"January 10, 25",0.0021107
2025-01-13,85.53,85.66,85.04,85.43,83.62,33258924,33258924,-0.1,-0.11692000000000001,85.415,"January 13, 25",-0.0011692
2025-01-14,85.23,85.36,84.89,85.29,83.48,33412900,33412900,0.06,0.07039775,85.1925,"January 14, 25",0.0007039775
2025-01-15,86.7,86.98,86.4,86.76,84.92,54120729,54120729,0.065,0.06920415,86.71,"January 15, 25",0.0006920415000000001
2025-01-16,86.64,87.4,86.28,87.04,85.2,34651100,34651100,0.4,0.46168000000000003,86.84,"January 16, 25",0.0046168
2025-01-17,87.43,87.48,87.04,87.19,85.34,29875611,29875611,-0.24,-0.27451000000000003,87.285,"January 17, 25",-0.0027451
2025-01-21,87.89,88.17,87.63,87.97,86.11,30548614,30548614,0.08,0.09102287,87.915,"January 21, 25",0.0009102287
2025-01-22,87.87,87.98,87.32,87.51,85.66,25278409,25278409,-0.36,-0.4097,87.67,"January 22, 25",-0.004097
2025-01-23,86.64,86.99,86.53,86.83,84.99,31949017,31949017,0.19,0.21930000000000002,86.7475,"January 23, 25",0.002193
2025-01-24,86.72,87.28,86.6,87.22,85.37,21110400,21110400,0.5,0.57657,86.955,"January 24, 25",0.0057656999999999995
2025-01-27,88.16,88.43,87.85,88.25,86.38,42864203,42864203,0.095,0.10209000000000001,88.1725,"January 27, 25",0.0010209
2025-01-28,87.84,88.2,87.66,88.19,86.32,25519105,25519105,0.35000000000000003,0.39845,87.9725,"January 28, 25",0.0039845
2025-01-29,88.43,88.62,87.63,88.01,86.15,25342800,25342800,-0.42,-0.47495000000000004,88.1725,"January 29, 25",-0.004749499999999999
2025-01-30,88.41,88.71,88.17,88.34,86.47,25094900,25094900,-0.07,-0.07917656,88.4075,"January 30, 25",-0.0007917656
2025-01-31,88.38,88.66,87.43,87.76,85.9,48812500,48812500,-0.62,-0.70152,88.0575,"January 31, 25",-0.0070152
2025-02-03,88.58,89.1,87.8,88.16,86.6,70657233,70657233,-0.41500000000000004,-0.47415,88.41,"February 03, 25",-0.0047415
2025-02-04,87.55,88.45,87.48,88.43,86.86,33414000,33414000,0.88,1.01,87.9775,"February 04, 25",0.010100000000000001
2025-02-05,89.45,90.18,89.39,89.89,88.3,48331200,48331200,0.44,0.49189000000000005,89.7275,"February 05, 25",0.0049188999999999995
2025-02-06,89.86,90.15,89.55,89.85,88.26,22509940,22509940,-0.01,-0.01112842,89.8525,"February 06, 25",-0.0001112842
2025-02-07,89.24,89.45,88.94,89.27,87.69,31171245,31171245,0.03,0.03361721,89.225,"February 07, 25",0.0003361721
2025-02-10,89.26,89.53,88.85,89.0,87.42,22736100,22736100,-0.264,-0.29128000000000004,89.16,"February 10, 25",-0.0029127999999999997
2025-02-11,88.53,88.68,88.38,88.43,86.86,21513015,21513015,-0.1,-0.11296,88.505,"February 11, 25",-0.0011296
2025-02-12,87.29,87.6,86.86,87.23,85.68,48536211,48536211,-0.06,-0.0687364,87.245,"February 12, 25",-0.0006873640000000001
2025-02-13,88.09,88.89,88.07,88.68,87.11,42718100,42718100,0.59,0.6697700000000001,88.4325,"February 13, 25",0.0066977
2025-02-14,89.38,89.68,89.12,89.15,87.57,27460743,27460743,-0.23,-0.25733,89.3325,"February 14, 25",-0.0025732999999999997
2025-02-18,88.54,88.84,88.04,88.1,86.54,29429200,29429200,-0.44,-0.49695000000000006,88.38,"February 18, 25",-0.0049695
2025-02-19,87.95,88.45,87.89,88.21,86.65,20584304,20584304,0.26,0.29562000000000005,88.125,"February 19, 25",0.0029562
2025-02-20,88.45,88.76,88.45,88.54,86.97,27913442,27913442,0.09,0.10175000000000001,88.55,"February 20, 25",0.0010175
2025-02-21,88.87,89.93,88.82,89.61,88.02,46912348,46912348,0.74,0.8326800000000001,89.3075,"February 21, 25",0.008326799999999999
2025-02-24,89.33,90.06,89.26,89.87,88.28,26218000,26218000,0.54,0.6045,89.63,"February 24, 25",0.006045
2025-02-25,90.97,91.5,90.8,91.42,89.8,50125100,50125100,0.45,0.49467000000000005,91.1725,"February 25, 25",0.0049467
2025-02-26,91.42,92.06,91.2,91.96,90.33,32220200,32220200,0.54,0.5906800000000001,91.66,"February 26, 25",0.005906799999999999
