date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,193.82,195.01,191.09,192.21,189.19,5035624,5035624,-1.6099999999999999,-0.83067,193.0325,"January 07, 25",-0.0083067
2025-01-08,191.8,192.69,188.07,191.66,188.64,4230400,4230400,-0.14,-0.0729927,191.055,"January 08, 25",-0.000729927
2025-01-10,192.91,192.91,188.42,190.15,187.16,7223871,7223871,-2.76,-1.43,191.0975,"January 10, 25",-0.0143
2025-01-13,189.83,191.76,187.65,191.09,188.08,4799620,4799620,1.26,0.6637500000000001,190.0825,"January 13, 25",0.006637499999999999
2025-01-14,191.54,193.61,190.18,193.5,190.45,4254200,4254200,1.96,1.02,192.2075,"January 14, 25",0.0102
2025-01-15,195.67,198.95,195.67,197.51,194.4,6288963,6288963,1.8399999999999999,0.9403600000000001,196.95,"January 15, 25",0.0094036
2025-01-16,195.17,195.48,187.14,187.37,184.42,7463300,7463300,-7.8,-4.0,191.29,"January 16, 25",-0.04
2025-01-17,192.54,192.93,190.02,192.42,189.39,5407529,5407529,-0.12,-0.06232471,191.9775,"January 17, 25",-0.0006232471
2025-01-21,191.67,196.5,191.6,195.23,192.16,9621746,9621746,3.56,1.8599999999999999,193.75,"January 21, 25",0.018600000000000002
2025-01-22,195.77,198.68,195.3,197.05,193.95,8222049,8222049,1.28,0.65383,196.7,"January 22, 25",0.0065382999999999995
2025-01-23,194.82,200.64,193.81,200.61,197.45,12694736,12694736,5.79,2.9699999999999998,197.47,"January 23, 25",0.0297
2025-01-24,190.0,191.5,185.03,185.52,182.6,15856600,15856600,-4.48,-2.36,188.0125,"January 24, 25",-0.0236
2025-01-27,185.75,190.09,183.7,187.03,184.09,11771300,11771300,1.28,0.6891,186.6425,"January 27, 25",0.0068909999999999996
2025-01-28,185.53,185.65,180.35,180.57,177.73,8720300,8720300,-4.96,-2.67,183.025,"January 28, 25",-0.0267
2025-01-29,181.02,181.67,179.61,180.27,177.43,4183838,4183838,-0.75,-0.41432,180.6425,"January 29, 25",-0.0041432
2025-01-30,180.5,185.87,180.27,185.27,182.35,5807100,5807100,4.77,2.64,182.9775,"January 30, 25",0.0264
2025-01-31,183.78,189.03,183.08,184.61,183.05,6333861,6333861,0.8300000000000001,0.45163000000000003,185.125,"January 31, 25",0.0045163
2025-02-03,183.03,183.31,178.4,180.94,179.41,6311500,6311500,-2.09,-1.1400000000000001,181.42,"February 03, 25",-0.0114
2025-02-04,180.02,183.05,179.55,180.56,179.03,5785747,5785747,0.54,0.29997,180.795,"February 04, 25",0.0029996999999999997
2025-02-05,179.51,181.8,177.69,181.59,180.05,5941191,5941191,2.08,1.16,180.1475,"February 05, 25",0.011600000000000001
2025-02-06,181.28,183.64,180.34,183.28,181.73,5089800,5089800,2.0,1.1,182.135,"February 06, 25",0.011
2025-02-07,183.28,183.42,179.28,180.0,178.48,5380748,5380748,-3.2800000000000002,-1.79,181.495,"February 07, 25",-0.0179
2025-02-10,181.35,181.57,179.1,180.31,178.78,3827111,3827111,-1.04,-0.5734800000000001,180.5825,"February 10, 25",-0.0057348
2025-02-11,179.35,181.93,179.0,179.25,177.73,3795510,3795510,-0.1,-0.0557569,179.8825,"February 11, 25",-0.0005575690000000001
2025-02-12,177.48,180.44,176.76,179.99,178.47,5364333,5364333,2.51,1.4100000000000001,178.6675,"February 12, 25",0.014100000000000001
2025-02-13,179.15,182.3,178.61,180.8,179.27,3737327,3737327,1.65,0.9210200000000001,180.215,"February 13, 25",0.0092102
2025-02-14,181.51,184.72,181.06,183.03,181.48,4137900,4137900,1.52,0.83742,182.58,"February 14, 25",0.0083742
2025-02-18,182.66,187.16,182.66,186.46,184.88,4578700,4578700,3.8,2.08,184.735,"February 18, 25",0.020800000000000003
2025-02-19,189.74,197.96,188.73,196.32,194.66,8438300,8438300,6.58,3.47,193.1875,"February 19, 25",0.0347
2025-02-20,199.32,204.26,197.91,203.96,202.23,9190100,9190100,4.64,2.33,201.3625,"February 20, 25",0.0233
2025-02-21,204.66,205.75,201.31,202.0,200.29,7349967,7349967,-2.66,-1.3,203.43,"February 21, 25",-0.013000000000000001
2025-02-24,202.14,205.41,200.35,200.74,199.04,7675911,7675911,-1.4,-0.69259,202.16,"February 24, 25",-0.0069259
2025-02-25,201.47,202.59,198.44,199.98,198.29,7441744,7441744,-1.49,-0.7395600000000001,200.62,"February 25, 25",-0.0073956
2025-02-26,199.98,200.03,195.78,198.24,196.56,5611621,5611621,-1.74,-0.87009,198.5075,"February 26, 25",-0.0087009
2025-02-27,197.5,198.13,191.15,191.3,189.68,7761733,7761733,-6.2,-3.14,194.52,"February 27, 25",-0.031400000000000004
2025-02-28,193.29,196.25,191.49,195.99,194.33,9024500,9024500,2.7,1.4,194.255,"February 28, 25",0.014
2025-03-03,199.01,200.25,193.59,194.39,192.75,6141348,6141348,-4.62,-2.32,196.81,"March 03, 25",-0.023200000000000002
2025-03-04,196.37,198.93,193.02,194.84,193.19,7159214,7159214,-1.53,-0.77914,195.79,"March 04, 25",-0.0077913999999999995
2025-03-05,195.22,197.0,190.76,195.57,193.92,5484440,5484440,0.35000000000000003,0.17928000000000002,194.6375,"March 05, 25",0.0017928
2025-03-06,191.76,193.92,188.5,189.34,187.74,7120200,7120200,-2.42,-1.26,190.88,"March 06, 25",-0.0126
2025-03-07,189.26,191.27,185.72,190.52,188.91,7706800,7706800,1.26,0.6657500000000001,189.1925,"March 07, 25",0.006657499999999999
2025-03-10,187.62,189.47,183.41,186.49,184.91,9161429,9161429,-1.13,-0.60228,186.7475,"March 10, 25",-0.0060228
2025-03-11,188.11,188.33,176.91,177.34,175.84,7981400,7981400,-10.77,-5.73,182.6725,"March 11, 25",-0.057300000000000004
2025-03-12,178.25,179.62,174.75,175.7,174.21,5436100,5436100,-2.55,-1.43,177.08,"March 12, 25",-0.0143
2025-03-13,175.08,176.97,172.09,173.6,172.13,5277248,5277248,-1.48,-0.84533,174.435,"March 13, 25",-0.0084533
2025-03-14,175.6,176.86,175.07,176.42,174.93,4927900,4927900,0.8250000000000001,0.46697000000000005,175.9875,"March 14, 25",0.0046697
2025-03-17,176.1,181.29,175.97,179.99,178.47,4940400,4940400,3.89,2.21,178.3375,"March 17, 25",0.0221
2025-03-18,179.7,179.77,177.61,179.45,177.93,4077700,4077700,-0.25,-0.13912000000000002,179.1325,"March 18, 25",-0.0013912
2025-03-19,179.67,183.66,178.71,181.74,180.2,5675000,5675000,2.07,1.15,180.945,"March 19, 25",0.0115
2025-03-20,179.41,181.81,178.5,180.68,179.15,4980005,4980005,1.27,0.7078800000000001,180.1,"March 20, 25",0.0070788
2025-03-21,178.53,179.84,177.04,179.0,177.49,11822921,11822921,0.47000000000000003,0.26326,178.6025,"March 21, 25",0.0026325999999999997
2025-03-24,182.95,187.48,182.53,185.51,183.94,5694983,5694983,2.56,1.4,184.6175,"March 24, 25",0.014
2025-03-25,184.49,186.84,183.55,183.97,182.41,4357411,4357411,-0.52,-0.28186,184.7125,"March 25, 25",-0.0028185999999999997
2025-03-26,184.26,186.01,183.28,184.49,182.93,5816621,5816621,0.23,0.12482000000000001,184.51,"March 26, 25",0.0012481999999999999
2025-03-27,183.02,183.02,177.52,180.76,179.23,5035900,5035900,-2.26,-1.23,181.08,"March 27, 25",-0.0123
2025-03-28,179.66,180.73,175.58,176.33,174.84,5490695,5490695,-3.33,-1.85,178.075,"March 28, 25",-0.018500000000000003
2025-03-31,175.42,180.2,173.96,179.7,178.18,9222896,9222896,4.28,2.44,177.32,"March 31, 25",0.0244
2025-04-01,179.28,179.56,174.27,177.99,176.48,5965400,5965400,-1.29,-0.7195400000000001,177.775,"April 01, 25",-0.007195399999999999
2025-04-02,175.82,179.93,175.19,178.19,176.68,4368900,4368900,2.37,1.35,177.2825,"April 02, 25",0.0135
2025-04-03,171.84,174.19,164.0,164.2,162.81,11895322,11895322,-7.64,-4.45,168.5575,"April 03, 25",-0.044500000000000005
2025-04-04,159.67,161.07,150.96,151.39,150.11,14976911,14976911,-8.28,-5.19,155.7725,"April 04, 25",-0.0519
2025-04-07,150.91,162.9,145.2,154.0,152.7,18337228,18337228,3.09,2.05,153.2525,"April 07, 25",0.0205
2025-04-08,156.75,159.03,143.31,146.01,144.77,13902800,13902800,-10.74,-6.85,151.275,"April 08, 25",-0.0685
2025-04-09,145.17,172.82,144.25,169.5,168.07,21578517,21578517,24.33,16.76,157.935,"April 09, 25",0.1676
2025-04-10,160.79,162.93,150.02,156.6,155.28,16019500,16019500,-4.19,-2.61,157.585,"April 10, 25",-0.0261
2025-04-11,144.0,149.88,139.95,147.6,146.35,21113300,21113300,3.6,2.5,145.3575,"April 11, 25",0.025
2025-04-14,151.04,153.59,149.14,150.98,149.7,10356643,10356643,-0.06,-0.03972458,151.1875,"April 14, 25",-0.0003972458
2025-04-15,151.42,152.7,149.85,151.18,149.9,6958917,6958917,-0.23500000000000001,-0.1585,151.2875,"April 15, 25",-0.0015849999999999998
2025-04-16,147.23,149.73,142.56,146.55,145.31,10862500,10862500,-0.675,-0.46186000000000005,146.5175,"April 16, 25",-0.0046186
2025-04-17,147.32,150.19,145.92,148.44,147.18,5739221,5739221,1.12,0.7602500000000001,147.9675,"April 17, 25",0.0076025
2025-04-21,145.46,146.74,142.64,145.61,144.38,8275000,8275000,0.15,0.10312,145.1125,"April 21, 25",0.0010312
2025-04-22,145.87,148.24,145.08,146.76,145.52,9139900,9139900,0.89,0.6101300000000001,146.4875,"April 22, 25",0.0061013
2025-04-23,153.17,155.34,151.28,152.15,150.86,14125000,14125000,-1.02,-0.66593,152.985,"April 23, 25",-0.0066593
2025-04-24,164.63,165.0,158.42,162.13,160.76,18950429,18950429,-2.5,-1.52,162.545,"April 24, 25",-0.0152
2025-04-25,161.84,163.7,160.52,162.86,161.48,8383300,8383300,1.02,0.6302500000000001,162.23,"April 25, 25",0.0063025
2025-04-28,163.35,163.54,159.72,162.44,161.07,5170500,5170500,-0.91,-0.5570900000000001,162.2625,"April 28, 25",-0.0055709
2025-04-29,159.49,162.35,158.75,160.77,159.41,6566500,6566500,1.28,0.80256,160.34,"April 29, 25",0.008025599999999999
2025-04-30,156.37,160.63,154.9,160.05,160.05,6158600,6158600,3.68,2.35,157.9875,"April 30, 25",0.0235
2025-05-01,160.84,162.07,158.06,158.26,158.26,6124900,6124900,-2.58,-1.6,159.8075,"May 01, 25",-0.016
2025-05-02,161.74,166.35,161.08,164.51,164.51,7642694,7642694,2.77,1.71,163.42,"May 02, 25",0.0171
2025-05-05,162.43,164.1,161.11,162.42,162.42,4803600,4803600,-0.01,-0.0061565,162.515,"May 05, 25",-6.1565e-05
2025-05-06,160.31,162.01,159.11,161.09,161.09,4531400,4531400,0.78,0.48656000000000005,160.63,"May 06, 25",0.0048655999999999994
2025-05-07,162.33,165.52,161.9,164.79,164.79,5670043,5670043,2.46,1.52,163.635,"May 07, 25",0.0152
2025-05-08,166.92,168.43,164.64,165.64,165.64,5171218,5171218,-1.28,-0.76683,166.4075,"May 08, 25",-0.007668299999999999
2025-05-09,170.07,172.6,169.61,172.27,172.27,8655154,8655154,2.2,1.29,171.1375,"May 09, 25",0.0129
2025-05-12,185.65,189.36,185.11,187.28,187.28,16210400,16210400,1.63,0.878,186.85,"May 12, 25",0.008780000000000001
2025-05-13,186.34,189.51,186.34,188.2,188.2,9837500,9837500,1.8599999999999999,0.9981800000000001,187.5975,"May 13, 25",0.009981799999999999
2025-05-14,187.47,187.73,185.05,187.34,187.34,6552300,6552300,-0.13,-0.06934443,186.8975,"May 14, 25",-0.0006934443
2025-05-15,186.17,189.76,185.51,187.83,187.83,5534000,5534000,1.6600000000000001,0.8916600000000001,187.3175,"May 15, 25",0.0089166
2025-05-16,189.31,189.31,186.81,188.5,188.5,4518714,4518714,-0.81,-0.42787000000000003,188.4825,"May 16, 25",-0.0042787
2025-05-19,185.0,188.48,184.25,188.34,188.34,6460923,6460923,3.34,1.81,186.5175,"May 19, 25",0.0181
2025-05-20,188.34,189.0,186.92,188.71,188.71,5290936,5290936,0.37,0.19645,188.2425,"May 20, 25",0.0019645
2025-05-21,186.5,189.9,184.73,185.42,185.42,8977708,8977708,-1.08,-0.57909,186.6375,"May 21, 25",-0.0057909
2025-05-22,185.94,186.91,179.98,180.21,180.21,7500800,7500800,-5.73,-3.08,183.26,"May 22, 25",-0.0308
2025-05-23,177.01,177.29,173.75,176.3,176.3,7417050,7417050,-0.705,-0.40111,176.0875,"May 23, 25",-0.0040111
2025-05-27,179.1,183.33,177.84,183.24,183.24,7939410,7939410,4.14,2.31,180.8775,"May 27, 25",0.023100000000000002
2025-05-28,183.35,185.92,183.09,184.15,184.15,5752800,5752800,0.8,0.43632000000000004,184.1275,"May 28, 25",0.004363199999999999
2025-05-29,186.24,186.48,182.93,184.99,184.99,4534900,4534900,-1.25,-0.6711800000000001,185.16,"May 29, 25",-0.0067117999999999995
2025-05-30,184.98,185.14,179.76,182.85,182.85,15101121,15101121,-2.13,-1.15,183.1825,"May 30, 25",-0.0115
2025-06-02,181.85,184.71,181.61,184.21,184.21,5648316,5648316,2.36,1.3,183.095,"June 02, 25",0.013000000000000001
2025-06-03,183.24,188.5,182.62,188.08,188.08,5612600,5612600,4.84,2.64,185.61,"June 03, 25",0.0264
2025-06-04,188.91,192.1,188.48,190.72,190.72,5780600,5780600,1.81,0.95813,190.0525,"June 04, 25",0.0095813
2025-06-05,192.91,194.29,189.32,190.49,190.49,6017844,6017844,-2.42,-1.25,191.7525,"June 05, 25",-0.0125
2025-06-06,193.69,194.84,192.26,192.42,192.42,5338876,5338876,-1.27,-0.6556900000000001,193.3025,"June 06, 25",-0.0065569
2025-06-09,193.74,200.43,193.47,199.21,199.21,6869729,6869729,5.47,2.8200000000000003,196.7125,"June 09, 25",0.028200000000000003
2025-06-10,199.98,203.17,199.48,202.29,202.29,6247700,6247700,2.31,1.16,201.23,"June 10, 25",0.011600000000000001
2025-06-11,203.31,203.35,198.15,199.69,199.69,5062131,5062131,-3.62,-1.78,201.125,"June 11, 25",-0.0178
