date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,518.85,519.5,511.22,514.25,508.45,3914545,3914545,-4.6,-0.88658,515.955,"January 07, 25",-0.0088658
2025-01-08,514.5,524.67,509.51,524.52,518.61,4141728,4141728,10.02,1.9500000000000002,518.3,"January 08, 25",0.0195
2025-01-10,526.64,535.45,518.47,520.69,514.82,5467532,5467532,-5.95,-1.13,525.3125,"January 10, 25",-0.011300000000000001
2025-01-13,535.04,547.4,533.14,541.14,535.04,6472500,6472500,6.1,1.1400000000000001,539.18,"January 13, 25",0.0114
2025-01-14,539.65,544.55,536.55,543.74,537.61,3978300,3978300,4.1,0.7579,541.1225,"January 14, 25",0.007579
2025-01-15,537.1,546.29,534.33,543.42,537.29,4103900,4103900,6.32,1.18,540.285,"January 15, 25",0.0118
2025-01-16,530.35,539.84,510.0,510.59,504.83,9059900,9059900,-19.76,-3.73,522.695,"January 16, 25",-0.0373
2025-01-17,505.62,521.82,502.8,509.76,504.01,7495719,7495719,4.14,0.8188000000000001,510.0,"January 17, 25",0.008187999999999999
2025-01-21,514.05,525.0,512.82,524.99,519.07,5682100,5682100,10.94,2.13,519.215,"January 21, 25",0.0213
2025-01-22,521.66,524.44,516.0,519.72,513.86,3756139,3756139,-1.94,-0.37189000000000005,520.455,"January 22, 25",-0.0037189
2025-01-23,527.87,531.48,519.32,529.77,523.8,4580802,4580802,1.9,0.35994000000000004,527.11,"January 23, 25",0.0035994
2025-01-24,528.11,534.63,524.51,532.51,526.51,3671200,3671200,4.4,0.8331600000000001,529.94,"January 24, 25",0.0083316
2025-01-27,539.98,551.91,539.98,543.52,537.39,4263000,4263000,3.54,0.65558,543.8475,"January 27, 25",0.0065558
2025-01-28,543.01,546.5,537.84,542.48,536.36,3162700,3162700,-0.53,-0.0976041,542.4575,"January 28, 25",-0.0009760410000000001
2025-01-29,541.73,543.48,534.01,538.1,532.03,2737638,2737638,-3.63,-0.67008,539.33,"January 29, 25",-0.0067008
2025-01-30,539.47,547.11,535.0,545.57,539.42,2924741,2924741,6.1,1.13,541.7875,"January 30, 25",0.011300000000000001
2025-01-31,543.24,549.16,541.41,542.49,536.37,4120661,4120661,-0.75,-0.13806000000000002,544.075,"January 31, 25",-0.0013805999999999998
2025-02-03,542.0,553.91,541.07,548.18,542.0,4083600,4083600,6.18,1.1400000000000001,546.29,"February 03, 25",0.0114
2025-02-04,545.2,548.81,541.51,545.45,539.3,2869935,2869935,0.25,0.04585473,545.2425,"February 04, 25",0.0004585473
2025-02-05,530.73,540.7,521.91,539.81,533.72,4621600,4621600,9.08,1.71,533.2875,"February 05, 25",0.0171
2025-02-06,537.89,539.1,525.27,530.04,524.06,3926829,3926829,-7.85,-1.46,533.075,"February 06, 25",-0.0146
2025-02-07,529.2,532.39,525.39,527.03,521.09,3349299,3349299,-2.17,-0.41005,528.5025,"February 07, 25",-0.0041005
2025-02-10,527.67,534.16,523.38,533.37,527.36,3143143,3143143,5.7,1.08,529.645,"February 10, 25",0.0108
2025-02-11,535.0,547.54,528.27,533.92,527.9,2632107,2632107,-1.08,-0.20187000000000002,536.1825,"February 11, 25",-0.0020187
2025-02-12,539.85,542.35,525.51,527.4,521.45,3859241,3859241,-12.45,-2.31,533.7775,"February 12, 25",-0.023100000000000002
2025-02-13,530.9,534.33,527.1,531.18,525.19,2835100,2835100,0.28,0.052740630000000004,530.8775,"February 13, 25",0.0005274063
2025-02-14,529.0,533.2,522.91,523.51,517.61,3705326,3705326,-5.49,-1.04,527.155,"February 14, 25",-0.010400000000000001
2025-02-18,510.94,516.0,497.0,500.73,495.08,8759300,8759300,-10.21,-2.0,506.1675,"February 18, 25",-0.02
2025-02-19,501.33,511.86,498.15,511.04,505.28,4380314,4380314,9.71,1.94,505.595,"February 19, 25",0.0194
2025-02-20,505.19,508.43,500.24,502.42,496.76,4144301,4144301,-2.77,-0.5483100000000001,504.07,"February 20, 25",-0.005483099999999999
2025-02-21,439.55,469.7,438.5,466.42,461.16,19864900,19864900,26.87,6.11,453.5425,"February 21, 25",0.0611
2025-02-24,466.68,468.0,457.0,461.52,456.32,6919337,6919337,-5.16,-1.11,463.3,"February 24, 25",-0.0111
2025-02-25,460.77,470.76,450.07,470.38,465.08,9101000,9101000,9.61,2.09,462.995,"February 25, 25",0.020900000000000002
2025-02-26,464.65,473.05,458.2,463.59,458.36,5108400,5108400,-1.06,-0.22813000000000003,464.8725,"February 26, 25",-0.0022813
2025-02-27,466.17,475.4,465.02,468.56,463.28,4216800,4216800,2.39,0.5126900000000001,468.7875,"February 27, 25",0.005126899999999999
2025-02-28,467.0,476.36,464.48,474.96,469.61,6146326,6146326,7.96,1.7000000000000002,470.7,"February 28, 25",0.017
2025-03-03,474.37,477.27,465.21,467.05,461.78,5700200,5700200,-7.32,-1.54,470.975,"March 03, 25",-0.0154
2025-03-04,469.75,479.21,466.46,474.61,469.26,5864135,5864135,4.86,1.03,472.5075,"March 04, 25",0.0103
2025-03-05,471.07,479.08,471.01,475.98,470.61,3637102,3637102,4.91,1.04,474.285,"March 05, 25",0.010400000000000001
2025-03-06,476.0,488.12,472.0,487.72,482.22,4964000,4964000,11.72,2.46,480.96,"March 06, 25",0.0246
2025-03-07,483.83,499.92,483.37,493.48,487.92,5434100,5434100,9.65,1.99,490.15,"March 07, 25",0.0199
2025-03-10,492.28,497.85,477.71,480.22,476.84,5108930,5108930,-12.06,-2.45,487.015,"March 10, 25",-0.0245
2025-03-11,482.5,486.77,477.14,486.04,482.61,4101015,4101015,3.54,0.7336800000000001,483.1125,"March 11, 25",0.0073368
2025-03-12,483.14,487.6,478.82,481.11,477.72,3681016,3681016,-2.03,-0.42017000000000004,482.6675,"March 12, 25",-0.0042017
2025-03-13,479.45,484.06,475.0,481.52,478.13,2877044,2877044,2.07,0.43174,480.0075,"March 13, 25",0.0043174
2025-03-14,481.0,489.45,478.24,488.65,485.21,3915911,3915911,7.65,1.5899999999999999,484.335,"March 14, 25",0.0159
2025-03-17,487.51,500.61,485.95,499.02,495.5,5152316,5152316,11.51,2.36,493.2725,"March 17, 25",0.0236
2025-03-18,502.24,505.97,497.82,503.8,500.25,3617629,3617629,1.56,0.31061000000000005,502.4575,"March 18, 25",0.0031060999999999997
2025-03-19,505.04,506.35,500.06,503.2,499.65,3317606,3317606,-1.8399999999999999,-0.36433000000000004,503.6625,"March 19, 25",-0.0036433
2025-03-20,505.25,514.39,503.51,511.3,507.7,4965400,4965400,6.05,1.2,508.6125,"March 20, 25",0.012
2025-03-21,511.68,519.0,505.09,516.85,513.21,10244942,10244942,5.17,1.01,513.155,"March 21, 25",0.010100000000000001
2025-03-24,515.08,518.25,511.12,516.5,512.86,3841080,3841080,1.42,0.27569000000000005,515.2375,"March 24, 25",0.0027569
2025-03-25,518.28,519.0,511.53,513.43,509.81,3015143,3015143,-4.85,-0.9357900000000001,515.56,"March 25, 25",-0.009357899999999999
2025-03-26,515.2,522.95,512.85,518.2,514.55,3255026,3255026,3.0,0.5823,517.3,"March 26, 25",0.005823
2025-03-27,516.29,521.08,512.95,515.72,512.08,2822200,2822200,-0.5650000000000001,-0.11040000000000001,516.51,"March 27, 25",-0.001104
2025-03-28,516.87,520.98,515.05,516.04,512.4,2379100,2379100,-0.8300000000000001,-0.16058,517.235,"March 28, 25",-0.0016058
