date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,125.18,127.08,124.01,124.98,121.22,3725331,3725331,-0.2,-0.15977000000000002,125.3125,"January 07, 25",-0.0015976999999999999
2025-01-08,125.91,126.78,125.22,126.76,122.95,4536300,4536300,0.85,0.6750900000000001,126.1675,"January 08, 25",0.0067509
2025-01-10,125.01,125.43,122.9,123.28,119.57,5231805,5231805,-1.73,-1.38,124.155,"January 10, 25",-0.013800000000000002
2025-01-13,123.34,125.17,121.56,125.01,121.25,6939200,6939200,1.67,1.35,123.77,"January 13, 25",0.0135
2025-01-14,125.37,125.93,124.56,125.84,122.06,4247608,4247608,0.47000000000000003,0.37489000000000006,125.425,"January 14, 25",0.0037489
2025-01-15,127.5,127.96,126.58,127.47,123.64,4315931,4315931,-0.03,-0.02352941,127.3775,"January 15, 25",-0.00023529410000000002
2025-01-16,129.51,130.66,128.77,129.94,126.03,5471669,5471669,0.435,0.33202000000000004,129.72,"January 16, 25",0.0033201999999999997
2025-01-17,130.15,130.58,129.43,129.73,125.83,4261100,4261100,-0.42,-0.32270000000000004,129.9725,"January 17, 25",-0.003227
2025-01-21,130.42,133.57,130.15,132.87,128.87,5283149,5283149,2.45,1.88,131.7525,"January 21, 25",0.0188
2025-01-22,132.66,133.43,131.25,132.55,128.56,4420700,4420700,-0.11,-0.08291874,132.4725,"January 22, 25",-0.0008291874
2025-01-23,132.94,133.67,132.01,133.61,129.59,3282621,3282621,0.67,0.50399,133.0575,"January 23, 25",0.0050399
2025-01-24,133.4,133.9,132.53,133.03,129.03,3212300,3212300,-0.37,-0.27736,133.215,"January 24, 25",-0.0027735999999999998
2025-01-27,133.9,136.86,133.74,136.26,132.16,4944400,4944400,2.36,1.76,135.19,"January 27, 25",0.0176
2025-01-28,135.76,136.99,135.35,135.42,131.35,3094500,3094500,-0.34,-0.25044,135.88,"January 28, 25",-0.0025044
2025-01-29,136.03,136.58,133.63,133.78,129.76,4262114,4262114,-2.25,-1.65,135.005,"January 29, 25",-0.0165
2025-01-30,117.39,117.98,109.62,114.9,111.45,41170416,41170416,-2.49,-2.12,114.9725,"January 30, 25",-0.0212
2025-01-31,115.01,116.59,113.36,114.23,110.8,15866100,15866100,-0.78,-0.6782,114.7975,"January 31, 25",-0.006782
2025-02-03,112.33,112.56,109.4,111.29,107.94,12635202,12635202,-1.04,-0.9258400000000001,111.395,"February 03, 25",-0.0092584
2025-02-04,111.34,112.15,110.21,111.77,108.41,9347800,9347800,0.43,0.38620000000000004,111.3675,"February 04, 25",0.003862
2025-02-05,111.72,112.67,111.01,111.9,108.54,7122930,7122930,0.18,0.16112,111.825,"February 05, 25",0.0016112
2025-02-06,112.35,113.87,112.27,113.47,110.06,6318203,6318203,1.12,0.9968800000000001,112.99,"February 06, 25",0.0099688
2025-02-07,113.87,113.96,112.62,113.11,109.71,4830714,4830714,-0.76,-0.6674300000000001,113.39,"February 07, 25",-0.006674299999999999
2025-02-10,113.52,114.77,112.76,114.16,110.73,6101500,6101500,0.64,0.5637800000000001,113.8025,"February 10, 25",0.0056378
2025-02-11,114.0,114.71,113.42,114.53,111.09,4589131,4589131,0.53,0.46491000000000005,114.165,"February 11, 25",0.0046491
2025-02-12,113.35,114.84,113.29,114.26,110.82,5172931,5172931,0.91,0.8028200000000001,113.935,"February 12, 25",0.0080282
2025-02-13,114.54,116.13,114.35,115.64,112.16,5854015,5854015,1.1,0.9603600000000001,115.165,"February 13, 25",0.0096036
2025-02-14,116.06,116.76,115.66,116.22,112.73,5942315,5942315,0.165,0.13786,116.175,"February 14, 25",0.0013786
2025-02-18,114.55,115.78,113.92,115.42,113.55,5407835,5407835,0.87,0.7594900000000001,114.9175,"February 18, 25",0.0075949
2025-02-19,114.96,115.44,114.25,115.0,113.14,4252012,4252012,0.04,0.03479471,114.9125,"February 19, 25",0.0003479471
2025-02-20,114.97,116.63,114.85,116.6,114.71,5801200,5801200,1.63,1.42,115.7625,"February 20, 25",0.0142
2025-02-21,116.45,116.85,115.26,116.33,114.45,6459937,6459937,-0.12,-0.10305,116.2225,"February 21, 25",-0.0010305
2025-02-24,116.58,118.08,115.86,116.16,114.28,6269900,6269900,-0.42,-0.36027000000000003,116.67,"February 24, 25",-0.0036027
2025-02-25,116.46,118.34,116.46,118.11,116.2,4985615,4985615,1.65,1.42,117.3425,"February 25, 25",0.0142
2025-02-26,118.1,118.57,116.72,116.89,115.0,3445341,3445341,-1.21,-1.02,117.57,"February 26, 25",-0.0102
2025-02-27,117.0,118.73,116.99,117.63,115.73,4821600,4821600,0.63,0.53846,117.5875,"February 27, 25",0.0053846
2025-02-28,117.8,119.63,117.8,119.03,117.1,8754900,8754900,1.23,1.04,118.565,"February 28, 25",0.010400000000000001
2025-03-03,119.82,120.98,118.77,119.26,117.33,5165125,5165125,-0.56,-0.46737000000000006,119.7075,"March 03, 25",-0.004673699999999999
2025-03-04,118.49,118.66,116.6,116.79,114.9,5387043,5387043,-1.7000000000000002,-1.43,117.635,"March 04, 25",-0.0143
2025-03-05,117.48,119.59,117.32,119.02,117.09,6812003,6812003,1.54,1.31,118.3525,"March 05, 25",0.0131
2025-03-06,118.94,120.58,118.17,120.5,118.55,5742100,5742100,1.56,1.31,119.5475,"March 06, 25",0.0131
2025-03-07,119.6,121.66,119.32,121.62,119.65,5635800,5635800,2.02,1.69,120.55,"March 07, 25",0.016900000000000002
2025-03-10,121.04,123.7,120.05,120.62,118.67,6279900,6279900,-0.42,-0.34699,121.3525,"March 10, 25",-0.0034698999999999997
2025-03-11,120.27,120.58,115.94,116.36,114.48,6498313,6498313,-3.91,-3.25,118.2875,"March 11, 25",-0.0325
2025-03-12,115.9,116.07,114.95,115.26,113.39,4970937,4970937,-0.64,-0.5522,115.545,"March 12, 25",-0.005522
2025-03-13,115.77,117.47,114.96,115.23,113.36,4629136,4629136,-0.535,-0.46644,115.8575,"March 13, 25",-0.0046644
2025-03-14,115.79,116.92,115.09,116.76,114.87,4020717,4020717,0.97,0.83772,116.14,"March 14, 25",0.0083772
2025-03-17,117.0,118.78,116.92,118.06,116.15,4428192,4428192,1.06,0.9059800000000001,117.69,"March 17, 25",0.0090598
