date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,312.89,315.19,311.32,311.67,310.63,4958641,4958641,-1.22,-0.38991000000000003,312.7675,"January 07, 25",-0.0038991
2025-01-08,311.0,314.04,310.21,312.6,311.56,5161601,5161601,1.6,0.5144700000000001,311.9625,"January 08, 25",0.0051446999999999994
2025-01-10,311.2,311.85,305.99,307.71,306.68,6660255,6660255,-3.49,-1.12,309.1875,"January 10, 25",-0.0112
2025-01-13,305.0,306.92,303.84,306.92,305.9,9568727,9568727,1.92,0.62951,305.67,"January 13, 25",0.0062951
2025-01-14,308.75,310.16,307.52,309.09,308.06,5107901,5107901,0.34,0.11012000000000001,308.88,"January 14, 25",0.0011011999999999999
2025-01-15,313.68,317.19,313.13,316.28,315.23,5222278,5222278,2.6,0.8288700000000001,315.07,"January 15, 25",0.0082887
2025-01-16,315.75,319.18,315.75,317.25,316.19,4606700,4606700,1.5,0.47506000000000004,316.9825,"January 16, 25",0.0047506
2025-01-17,317.5,320.59,316.71,319.62,318.55,5805810,5805810,2.12,0.6677200000000001,318.605,"January 17, 25",0.0066771999999999995
2025-01-21,320.31,324.58,320.0,323.63,322.55,5653341,5653341,3.32,1.04,322.13,"January 21, 25",0.010400000000000001
2025-01-22,324.77,325.74,322.38,323.56,322.48,5026500,5026500,-1.21,-0.37257,324.1125,"January 22, 25",-0.0037256999999999998
2025-01-23,323.76,328.51,323.57,328.21,327.12,5297100,5297100,4.45,1.37,326.0125,"January 23, 25",0.0137
2025-01-24,328.02,331.09,327.81,330.2,329.1,4327755,4327755,2.18,0.66459,329.28,"January 24, 25",0.0066459
2025-01-27,330.0,335.49,328.05,334.54,333.42,6636541,6636541,4.54,1.38,332.02,"January 27, 25",0.013800000000000002
2025-01-28,334.67,337.83,332.89,334.48,333.36,5999623,5999623,-0.19,-0.056772340000000004,334.9675,"January 28, 25",-0.0005677234
2025-01-29,334.5,337.11,334.5,335.88,334.76,5087300,5087300,1.38,0.41256000000000004,335.4975,"January 29, 25",0.0041256
2025-01-30,339.51,344.44,339.0,343.05,341.91,8081300,8081300,3.54,1.04,341.5,"January 30, 25",0.010400000000000001
2025-01-31,346.47,351.25,341.71,341.8,340.66,8628100,8628100,-4.67,-1.35,345.3075,"January 31, 25",-0.0135
2025-02-03,340.0,346.0,339.24,345.82,344.67,8004548,8004548,5.82,1.71,342.765,"February 03, 25",0.0171
2025-02-04,344.6,346.01,342.54,345.15,344.0,5532600,5532600,0.55,0.15961,344.575,"February 04, 25",0.0015961
2025-02-05,346.0,349.48,345.25,349.44,348.27,4939100,4939100,3.44,0.9942200000000001,347.5425,"February 05, 25",0.0099422
2025-02-06,349.78,350.65,346.6,347.48,346.32,4294541,4294541,-2.3,-0.65756,348.6275,"February 06, 25",-0.0065756
2025-02-07,348.0,350.75,347.21,348.02,346.86,4261612,4261612,0.02,0.0057471300000000005,348.495,"February 07, 25",5.74713e-05
2025-02-10,348.7,351.9,347.7,351.23,350.06,6067002,6067002,2.5300000000000002,0.72555,349.8825,"February 10, 25",0.0072555
2025-02-11,348.3,352.12,346.25,350.72,350.14,5154800,5154800,2.42,0.6948000000000001,349.3475,"February 11, 25",0.006947999999999999
2025-02-12,349.16,351.83,347.49,351.49,350.91,6760100,6760100,2.33,0.66732,349.9925,"February 12, 25",0.0066732
2025-02-13,353.12,356.08,350.73,355.63,355.04,4279581,4279581,2.51,0.71081,353.89,"February 13, 25",0.0071081
2025-02-14,354.43,355.43,353.22,353.81,353.22,5720300,5720300,-0.62,-0.17493,354.2225,"February 14, 25",-0.0017492999999999999
2025-02-18,353.69,356.74,352.4,356.73,356.14,5822034,5822034,3.04,0.8595100000000001,354.89,"February 18, 25",0.0085951
2025-02-19,356.02,357.15,354.18,355.23,354.64,4152300,4152300,-0.785,-0.22190000000000001,355.645,"February 19, 25",-0.002219
2025-02-20,355.23,356.13,349.06,350.49,349.91,5697023,5697023,-4.74,-1.33,352.7275,"February 20, 25",-0.013300000000000001
2025-02-21,350.49,353.32,347.48,348.53,347.95,6924127,6924127,-1.96,-0.55922,349.955,"February 21, 25",-0.005592199999999999
2025-02-24,348.76,350.8,347.36,349.86,349.28,5055927,5055927,1.11,0.3154,349.195,"February 24, 25",0.0031539999999999997
2025-02-25,351.37,352.59,346.0,352.09,351.51,6191949,6191949,0.72,0.20491,350.5125,"February 25, 25",0.0020491
2025-02-26,350.0,351.83,348.99,350.63,350.05,5960603,5960603,0.63,0.18,350.3625,"February 26, 25",0.0018000000000000002
2025-02-27,351.9,360.31,351.68,355.74,355.15,7298114,7298114,3.84,1.09,354.9075,"February 27, 25",0.0109
2025-02-28,354.71,364.0,353.71,362.71,362.11,15857344,15857344,8.0,2.26,358.7825,"February 28, 25",0.022600000000000002
2025-03-03,363.0,366.54,359.54,361.82,361.22,9099607,9099607,-1.18,-0.32507,362.725,"March 03, 25",-0.0032507
2025-03-04,360.11,360.27,350.4,352.23,351.65,8955804,8955804,-7.88,-2.19,355.7525,"March 04, 25",-0.0219
2025-03-05,350.83,354.11,348.94,352.68,352.1,8244242,8244242,1.85,0.52732,351.64,"March 05, 25",0.0052732
2025-03-06,345.96,348.87,340.39,344.16,343.59,8611119,8611119,-1.8,-0.52029,344.845,"March 06, 25",-0.0052029
2025-03-07,340.87,346.39,339.14,345.32,344.75,6358901,6358901,4.45,1.31,342.93,"March 07, 25",0.0131
2025-03-10,339.94,345.01,337.64,341.48,340.91,8204300,8204300,1.54,0.45302000000000003,341.0175,"March 10, 25",0.0045302
2025-03-11,338.41,339.61,329.58,332.14,331.59,9776100,9776100,-6.27,-1.85,334.935,"March 11, 25",-0.018500000000000003
2025-03-12,335.97,336.16,329.11,332.84,332.29,6295400,6295400,-3.13,-0.9316300000000001,333.52,"March 12, 25",-0.0093163
2025-03-13,330.99,336.2,327.7,328.55,328.01,7915323,7915323,-2.44,-0.7371800000000001,330.86,"March 13, 25",-0.0073717999999999995
2025-03-14,327.21,332.77,326.38,331.8,331.25,7810970,7810970,4.59,1.4,329.54,"March 14, 25",0.014
2025-03-17,330.03,336.11,329.76,334.55,334.0,6149652,6149652,4.52,1.37,332.6125,"March 17, 25",0.0137
2025-03-18,335.29,335.8,332.3,334.77,334.21,7778631,7778631,-0.52,-0.15509,334.54,"March 18, 25",-0.0015509
2025-03-19,336.8,341.03,334.5,339.87,339.31,5615204,5615204,3.07,0.9115200000000001,338.05,"March 19, 25",0.0091152
2025-03-20,339.0,342.24,337.66,339.5,338.94,5432700,5432700,0.5,0.14749,339.6,"March 20, 25",0.0014749
2025-03-21,337.37,339.43,335.52,335.66,335.1,17279700,17279700,-1.71,-0.5068600000000001,336.995,"March 21, 25",-0.0050685999999999995
2025-03-24,338.65,345.22,337.65,343.87,343.3,5675111,5675111,5.22,1.54,341.3475,"March 24, 25",0.0154
2025-03-25,344.56,345.53,340.67,344.62,344.05,3931200,3931200,0.06,0.01741351,343.845,"March 25, 25",0.00017413510000000002
2025-03-26,345.99,347.38,343.0,344.18,343.61,6187574,6187574,-1.81,-0.52314,345.1375,"March 26, 25",-0.0052314
2025-03-27,344.0,350.84,343.32,349.86,349.28,7254807,7254807,5.86,1.7000000000000002,347.005,"March 27, 25",0.017
2025-03-28,349.19,351.62,341.61,342.85,342.28,5687616,5687616,-6.34,-1.82,346.3175,"March 28, 25",-0.0182
2025-03-31,339.35,351.86,334.49,350.46,349.88,9950800,9950800,11.11,3.27,344.04,"March 31, 25",0.0327
2025-04-01,350.44,350.45,342.57,346.35,345.78,7473329,7473329,-4.09,-1.17,347.4525,"April 01, 25",-0.0117
2025-04-02,343.44,348.2,343.05,346.33,345.76,5682521,5682521,2.89,0.8414900000000001,345.255,"April 02, 25",0.0084149
2025-04-03,333.9,344.74,331.0,339.39,338.83,8792900,8792900,5.49,1.6400000000000001,337.2575,"April 03, 25",0.0164
2025-04-04,330.0,334.65,312.12,313.13,312.61,13201735,13201735,-16.87,-5.11,322.475,"April 04, 25",-0.0511
2025-04-07,302.07,322.18,299.0,312.32,311.8,12163443,12163443,10.25,3.39,308.8925,"April 07, 25",0.0339
2025-04-08,322.24,326.28,303.93,308.27,307.76,9569300,9569300,-13.97,-4.34,315.18,"April 08, 25",-0.0434
2025-04-09,305.64,334.03,305.64,332.43,331.88,11361801,11361801,26.8,8.77,319.435,"April 09, 25",0.0877
2025-04-10,328.02,330.16,313.27,324.61,324.07,8709800,8709800,-3.41,-1.04,324.015,"April 10, 25",-0.010400000000000001
2025-04-11,324.43,336.98,322.54,333.4,332.85,6804507,6804507,8.97,2.76,329.3375,"April 11, 25",0.027600000000000003
2025-04-14,336.41,339.61,333.14,335.18,334.62,5011800,5011800,-1.23,-0.36563,336.085,"April 14, 25",-0.0036563
2025-04-15,336.72,339.39,335.0,335.81,335.25,4386214,4386214,-0.91,-0.27025000000000005,336.73,"April 15, 25",-0.0027025
2025-04-16,335.0,337.22,328.86,331.33,330.78,5850819,5850819,-3.67,-1.1,333.1025,"April 16, 25",-0.011
2025-04-17,331.07,334.32,328.44,329.61,329.06,5655943,5655943,-1.46,-0.44099000000000005,330.86,"April 17, 25",-0.0044099
2025-04-21,329.0,329.15,316.65,320.1,319.57,6362425,6362425,-8.9,-2.71,323.725,"April 21, 25",-0.027100000000000003
2025-04-22,323.86,332.56,322.39,331.4,330.85,5435531,5435531,7.54,2.33,327.5525,"April 22, 25",0.0233
2025-04-23,337.24,341.25,333.2,334.27,333.72,8906235,8906235,-2.9699999999999998,-0.88068,336.49,"April 23, 25",-0.0088068
2025-04-24,333.28,336.77,331.25,335.71,335.15,8055200,8055200,2.43,0.7291200000000001,334.2525,"April 24, 25",0.007291199999999999
2025-04-25,334.76,336.37,332.17,335.17,334.61,4452800,4452800,0.41000000000000003,0.12248,334.6175,"April 25, 25",0.0012247999999999998
2025-04-28,336.78,339.34,335.02,337.51,336.95,5422903,5422903,0.735,0.21676,337.1625,"April 28, 25",0.0021676
2025-04-29,338.5,342.27,336.46,341.52,340.95,5519533,5519533,3.02,0.89217,339.6875,"April 29, 25",0.0089217
2025-04-30,334.44,346.52,333.24,345.5,344.93,9526712,9526712,11.06,3.31,339.925,"April 30, 25",0.033100000000000004
2025-05-01,345.58,345.72,340.12,342.45,341.88,5849940,5849940,-3.13,-0.9057200000000001,343.4675,"May 01, 25",-0.0090572
2025-05-02,347.22,350.09,346.12,347.6,347.02,6113700,6113700,0.38,0.10944000000000001,347.7575,"May 02, 25",0.0010944
2025-05-05,347.0,351.05,346.12,348.64,348.06,3865342,3865342,1.6400000000000001,0.47262000000000004,348.2025,"May 05, 25",0.0047262
2025-05-06,346.4,349.65,345.76,347.7,347.12,3438500,3438500,1.3,0.37529,347.3775,"May 06, 25",0.0037529
2025-05-07,348.7,351.15,347.21,349.85,349.27,5454135,5454135,1.15,0.32980000000000004,349.2275,"May 07, 25",0.0032979999999999997
2025-05-08,352.0,355.33,350.95,351.27,350.69,4156400,4156400,-0.73,-0.20739000000000002,352.3875,"May 08, 25",-0.0020739
2025-05-09,351.83,353.8,350.67,352.54,351.96,3086734,3086734,0.71,0.2018,352.21,"May 09, 25",0.002018
2025-05-12,359.14,361.89,351.13,355.85,355.26,7985428,7985428,-3.29,-0.9160800000000001,357.0025,"May 12, 25",-0.0091608
2025-05-13,355.52,358.87,354.58,356.14,356.14,5406243,5406243,0.62,0.17439000000000002,356.2775,"May 13, 25",0.0017438999999999998
2025-05-14,356.67,358.41,355.21,356.46,356.46,6208010,6208010,-0.21,-0.05887795,356.6875,"May 14, 25",-0.0005887795000000001
2025-05-15,356.89,363.73,356.68,362.3,362.3,5826126,5826126,5.41,1.52,359.9,"May 15, 25",0.0152
2025-05-16,362.95,366.19,360.89,365.12,365.12,5838100,5838100,2.17,0.5978800000000001,363.7875,"May 16, 25",0.005978799999999999
2025-05-19,363.02,369.15,362.32,367.9,367.9,5081519,5081519,4.88,1.34,365.5975,"May 19, 25",0.0134
2025-05-20,367.78,368.25,364.69,366.84,366.84,5281778,5281778,-0.9400000000000001,-0.25559000000000004,366.89,"May 20, 25",-0.0025559
2025-05-21,363.72,365.99,358.08,358.3,358.3,6125536,6125536,-5.42,-1.49,361.5225,"May 21, 25",-0.0149
2025-05-22,357.76,360.0,356.56,357.97,357.97,4936600,4936600,0.215,0.05869857,358.0725,"May 22, 25",0.0005869857000000001
2025-05-23,353.75,356.0,352.22,353.54,353.54,5346050,5346050,-0.20500000000000002,-0.05936396,353.8775,"May 23, 25",-0.0005936396000000001
2025-05-27,355.41,360.0,354.48,359.3,359.3,6316301,6316301,3.89,1.09,357.2975,"May 27, 25",0.0109
2025-05-28,359.34,360.91,358.04,359.73,359.73,3299041,3299041,0.39,0.10853000000000002,359.505,"May 28, 25",0.0010853
2025-05-29,360.35,363.04,358.72,362.4,362.4,4591000,4591000,2.05,0.56889,361.1275,"May 29, 25",0.005688899999999999
2025-05-30,361.35,367.04,361.35,365.19,365.19,8726900,8726900,3.84,1.06,363.7325,"May 30, 25",0.0106
2025-06-02,362.77,365.46,359.96,365.32,365.32,3845997,3845997,2.55,0.7029200000000001,363.3775,"June 02, 25",0.007029199999999999
2025-06-03,364.58,366.88,361.5,365.86,365.86,5221424,5221424,1.28,0.35109,364.705,"June 03, 25",0.0035109
2025-06-04,366.71,369.66,366.31,368.0,368.0,4202306,4202306,1.29,0.35178000000000004,367.67,"June 04, 25",0.0035177999999999997
2025-06-05,370.0,371.0,365.93,366.77,366.77,6884638,6884638,-3.23,-0.87297,368.425,"June 05, 25",-0.0087297
2025-06-06,369.01,371.0,367.55,370.22,370.22,5008500,5008500,1.21,0.3279,369.445,"June 06, 25",0.003279
2025-06-09,369.79,369.79,362.05,366.66,366.66,5000275,5000275,-3.13,-0.84643,367.0725,"June 09, 25",-0.0084643
2025-06-10,367.0,371.44,366.68,370.7,370.7,4109300,4109300,3.7,1.01,368.955,"June 10, 25",0.010100000000000001
2025-06-11,370.0,375.51,369.38,373.31,373.31,5562874,5562874,3.31,0.8945900000000001,372.05,"June 11, 25",0.0089459
2025-06-12,372.23,374.17,369.55,371.4,371.4,4874007,4874007,-0.8300000000000001,-0.22298,371.8375,"June 12, 25",-0.0022298
2025-06-13,361.51,363.01,345.0,352.85,352.85,14181700,14181700,-8.65,-2.4,355.5925,"June 13, 25",-0.024
2025-06-16,356.49,360.22,354.33,355.48,355.48,7234700,7234700,-1.01,-0.28332,356.63,"June 16, 25",-0.0028331999999999997
2025-06-17,353.49,359.6,353.32,357.84,357.84,5559643,5559643,4.35,1.23,356.0625,"June 17, 25",0.0123
2025-06-18,357.85,358.48,338.04,340.38,340.38,15008618,15008618,-17.47,-4.88,348.6875,"June 18, 25",-0.0488
2025-06-20,338.95,340.0,334.92,338.57,338.57,19332100,19332100,-0.38,-0.11211000000000002,338.11,"June 20, 25",-0.0011210999999999999
2025-06-23,337.5,344.3,335.63,343.75,343.75,7553346,7553346,6.25,1.85,340.295,"June 23, 25",0.018500000000000003
2025-06-24,351.52,354.56,347.92,351.63,351.63,10172000,10172000,0.11,0.03129267,351.4075,"June 24, 25",0.0003129267
2025-06-25,350.45,351.29,345.26,345.26,345.26,6836300,6836300,-5.19,-1.48,348.065,"June 25, 25",-0.0148
