date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,196.6,196.81,194.6,195.21,193.44,832129,832129,-1.3900000000000001,-0.7070200000000001,195.805,"January 07, 25",-0.0070702
2025-01-08,195.18,195.89,194.1,195.81,194.04,800143,800143,0.63,0.32278,195.245,"January 08, 25",0.0032278
2025-01-10,194.48,194.83,192.44,192.84,191.1,1788237,1788237,-1.6400000000000001,-0.8432700000000001,193.6475,"January 10, 25",-0.0084327
2025-01-13,192.18,194.17,192.07,194.12,192.36,1995447,1995447,1.94,1.01,193.135,"January 13, 25",0.010100000000000001
2025-01-14,194.68,195.23,193.62,195.18,193.41,744175,744175,0.5,0.25683,194.6775,"January 14, 25",0.0025683
2025-01-15,197.46,197.87,196.69,197.46,195.67,797988,797988,0.0,0.0,197.37,"January 15, 25",0.0
2025-01-16,197.77,198.23,197.16,197.83,196.04,1142447,1142447,0.06,0.03033827,197.7475,"January 16, 25",0.0003033827
2025-01-17,199.22,199.68,198.75,199.15,197.35,1079800,1079800,-0.07,-0.03513703,199.2,"January 17, 25",-0.00035137030000000004
2025-01-21,199.81,201.12,199.81,201.1,199.28,2111060,2111060,1.29,0.64561,200.46,"January 21, 25",0.006456099999999999
2025-01-22,201.75,201.85,201.03,201.08,199.26,760800,760800,-0.67,-0.33209000000000005,201.4275,"January 22, 25",-0.0033209
2025-01-23,201.19,202.41,200.91,202.41,200.58,1147516,1147516,1.22,0.6063900000000001,201.73,"January 23, 25",0.0060639
2025-01-24,202.37,202.81,201.99,202.27,200.44,937301,937301,-0.1,-0.049414440000000004,202.36,"January 24, 25",-0.0004941444
2025-01-27,200.03,201.98,200.03,201.94,200.11,1477248,1477248,1.9100000000000001,0.95486,200.995,"January 27, 25",0.009548599999999999
2025-01-28,201.97,202.15,201.08,201.41,199.59,784136,784136,-0.56,-0.27727,201.6525,"January 28, 25",-0.0027727
2025-01-29,201.24,202.08,200.56,201.05,199.23,822400,822400,-0.19,-0.09441463,201.2325,"January 29, 25",-0.0009441463000000001
2025-01-30,202.2,203.51,201.86,202.93,201.09,1079483,1079483,0.73,0.36103,202.625,"January 30, 25",0.0036103
2025-01-31,203.65,204.22,202.1,202.22,200.39,1039611,1039611,-1.43,-0.7021900000000001,203.0475,"January 31, 25",-0.007021899999999999
2025-02-03,199.79,202.35,199.35,201.67,199.85,1409100,1409100,1.88,0.9409900000000001,200.79,"February 03, 25",0.009409899999999999
2025-02-04,201.25,202.38,200.96,202.21,200.38,792637,792637,0.96,0.47702000000000006,201.7,"February 04, 25",0.0047702
2025-02-05,202.79,203.89,201.74,203.88,202.04,1726532,1726532,1.09,0.5375,203.075,"February 05, 25",0.005375
2025-02-06,204.26,204.26,202.62,203.54,201.7,1166356,1166356,-0.72,-0.35249,203.67,"February 06, 25",-0.0035248999999999996
2025-02-07,203.94,204.0,201.73,201.83,200.0,950729,950729,-2.11,-1.03,202.875,"February 07, 25",-0.0103
2025-02-10,202.88,203.21,202.15,203.15,201.31,1141805,1141805,0.27,0.13308,202.8475,"February 10, 25",0.0013308
2025-02-11,202.95,204.26,202.7,204.19,202.34,638026,638026,1.24,0.61099,203.525,"February 11, 25",0.0061099
2025-02-12,202.38,203.45,202.2,203.27,201.43,952238,952238,0.89,0.43977000000000005,202.825,"February 12, 25",0.0043977
2025-02-13,203.65,204.76,203.13,204.64,202.79,769700,769700,0.99,0.48613000000000006,204.045,"February 13, 25",0.0048613
2025-02-14,204.82,204.96,203.74,203.86,202.02,674700,674700,-0.96,-0.4687,204.345,"February 14, 25",-0.004687
2025-02-18,203.63,204.3,203.0,204.3,202.45,1009138,1009138,0.67,0.32903000000000004,203.8075,"February 18, 25",0.0032903
2025-02-19,204.01,205.24,203.92,205.23,203.37,723761,723761,1.22,0.59801,204.6,"February 19, 25",0.0059800999999999995
2025-02-20,204.6,204.66,203.32,204.17,202.32,952925,952925,-0.43,-0.21017000000000002,204.1875,"February 20, 25",-0.0021016999999999997
2025-02-21,203.79,203.79,201.71,201.98,200.15,756000,756000,-1.81,-0.8881700000000001,202.8175,"February 21, 25",-0.0088817
2025-02-24,202.21,202.68,201.37,201.51,199.69,1053651,1053651,-0.7000000000000001,-0.34617000000000003,201.9425,"February 24, 25",-0.0034617
2025-02-25,201.72,202.62,201.02,202.14,200.31,899882,899882,0.42,0.20821,201.875,"February 25, 25",0.0020821
2025-02-26,202.46,202.91,200.95,201.58,199.76,677295,677295,-0.88,-0.43465000000000004,201.975,"February 26, 25",-0.0043465
2025-02-27,201.88,203.15,200.26,200.35,198.54,766354,766354,-1.53,-0.7578800000000001,201.41,"February 27, 25",-0.007578799999999999
2025-02-28,200.71,203.29,199.61,203.13,201.29,982225,982225,2.42,1.21,201.685,"February 28, 25",0.012100000000000001
2025-03-03,203.82,204.09,200.03,201.22,199.4,1226591,1226591,-2.6,-1.28,202.29,"March 03, 25",-0.0128
2025-03-04,200.43,200.85,197.7,198.15,196.36,2498136,2498136,-2.2800000000000002,-1.1400000000000001,199.2825,"March 04, 25",-0.0114
2025-03-05,198.06,200.5,197.26,199.93,198.12,1338079,1338079,1.87,0.9441600000000001,198.9375,"March 05, 25",0.0094416
2025-03-06,197.56,199.03,196.63,197.75,195.96,1030429,1030429,0.19,0.09617331,197.7425,"March 06, 25",0.0009617331
2025-03-07,197.4,200.06,197.06,199.59,197.78,908915,908915,2.19,1.11,198.5275,"March 07, 25",0.0111
2025-03-10,197.44,198.67,194.64,196.09,194.32,1300701,1300701,-1.35,-0.6837500000000001,196.71,"March 10, 25",-0.0068375
2025-03-11,195.94,196.01,192.5,193.39,191.64,2925066,2925066,-2.55,-1.3,194.46,"March 11, 25",-0.013000000000000001
2025-03-12,194.22,194.28,191.28,192.17,190.43,1732978,1732978,-2.05,-1.06,192.9875,"March 12, 25",-0.0106
2025-03-13,191.95,192.62,189.7,190.34,188.62,4438066,4438066,-1.6099999999999999,-0.8387600000000001,191.1525,"March 13, 25",-0.0083876
2025-03-14,191.31,193.3,190.79,193.08,191.33,915759,915759,1.77,0.9252,192.12,"March 14, 25",0.009252
2025-03-17,192.39,195.7,192.39,195.09,193.33,955403,955403,2.7,1.4,193.8925,"March 17, 25",0.014
2025-03-18,194.61,194.9,193.12,193.86,192.11,669347,669347,-0.75,-0.38539,194.1225,"March 18, 25",-0.0038539
2025-03-19,194.23,196.19,193.9,195.33,193.56,709623,709623,1.1,0.5663400000000001,194.9125,"March 19, 25",0.0056634
2025-03-20,194.19,195.8,193.88,194.5,192.74,701107,701107,0.31,0.15964,194.5925,"March 20, 25",0.0015964
2025-03-21,193.42,194.26,192.52,194.17,192.41,803001,803001,0.75,0.38776000000000005,193.5925,"March 21, 25",0.0038775999999999997
2025-03-24,195.75,196.75,195.53,196.49,194.71,781196,781196,0.74,0.37803000000000003,196.13,"March 24, 25",0.0037803
2025-03-25,196.77,196.8,195.26,195.98,194.21,618033,618033,-0.79,-0.40148000000000006,196.2025,"March 25, 25",-0.0040148
2025-03-26,196.24,197.06,195.15,195.58,193.81,828241,828241,-0.66,-0.33632,196.0075,"March 26, 25",-0.0033632
2025-03-27,194.43,195.24,193.72,194.58,193.75,669633,669633,0.15,0.07714859,194.4925,"March 27, 25",0.0007714859
2025-03-28,194.25,194.64,191.71,191.94,191.12,1034017,1034017,-2.31,-1.19,193.135,"March 28, 25",-0.0119
2025-03-31,190.8,194.62,190.55,193.99,193.16,1315957,1315957,3.19,1.67,192.49,"March 31, 25",0.0167
2025-04-01,193.27,194.35,191.96,193.65,192.82,852629,852629,0.38,0.19662000000000002,193.3075,"April 01, 25",0.0019662
2025-04-02,192.32,195.26,192.1,194.8,193.97,750608,750608,2.48,1.29,193.62,"April 02, 25",0.0129
2025-04-03,189.98,191.15,187.58,187.76,186.96,2102023,2102023,-2.22,-1.17,189.1175,"April 03, 25",-0.0117
2025-04-04,183.84,184.55,176.86,177.07,176.31,4940700,4940700,-6.77,-3.68,180.58,"April 04, 25",-0.0368
2025-04-07,172.62,181.37,169.32,175.67,174.92,4043600,4043600,3.05,1.77,174.745,"April 07, 25",0.0177
2025-04-08,181.31,181.97,171.21,173.71,172.97,2725359,2725359,-7.6,-4.19,177.05,"April 08, 25",-0.0419
2025-04-09,172.12,187.29,171.69,186.54,185.74,2555900,2555900,14.42,8.38,179.41,"April 09, 25",0.0838
2025-04-10,183.59,183.75,176.65,181.58,180.8,1767692,1767692,-2.01,-1.09,181.3925,"April 10, 25",-0.0109
2025-04-11,181.08,185.78,180.1,184.75,183.96,1460327,1460327,3.67,2.03,182.9275,"April 11, 25",0.020300000000000002
2025-04-14,187.28,187.82,185.12,186.76,185.96,2032937,2032937,-0.52,-0.27766,186.745,"April 14, 25",-0.0027765999999999997
2025-04-15,187.11,188.17,185.93,186.02,185.23,1068413,1068413,-1.09,-0.58255,186.8075,"April 15, 25",-0.0058255
2025-04-16,185.03,186.08,181.78,183.11,182.33,1035512,1035512,-1.92,-1.04,184.0,"April 16, 25",-0.010400000000000001
2025-04-17,183.4,185.48,183.1,183.86,183.07,948653,948653,0.46,0.25082000000000004,183.96,"April 17, 25",0.0025082
2025-04-21,182.55,182.87,178.25,180.17,179.4,1374742,1374742,-2.38,-1.3,180.96,"April 21, 25",-0.013000000000000001
2025-04-22,181.96,184.63,181.61,184.38,183.59,1195989,1195989,2.42,1.33,183.145,"April 22, 25",0.013300000000000001
2025-04-23,187.53,189.0,185.2,185.83,185.04,1186964,1186964,-1.7000000000000002,-0.9065200000000001,186.89,"April 23, 25",-0.009065199999999999
2025-04-24,185.81,188.48,184.96,188.35,187.55,900902,900902,2.54,1.37,186.9,"April 24, 25",0.0137
2025-04-25,187.87,188.73,186.47,188.66,187.85,968533,968533,0.79,0.42050000000000004,187.9325,"April 25, 25",0.0042049999999999995
2025-04-28,188.72,189.65,187.34,189.04,188.23,872946,872946,0.32,0.16956000000000002,188.6875,"April 28, 25",0.0016956
