date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,80.98,81.12,80.36,80.45,79.47,297500,297500,-0.53,-0.6544800000000001,80.7275,"January 07, 25",-0.0065448
2025-01-08,80.15,80.55,79.92,80.46,79.48,277400,277400,0.31,0.38677000000000006,80.27,"January 08, 25",0.0038677
2025-01-10,79.93,79.93,79.2,79.3,78.33,352345,352345,-0.63,-0.7881900000000001,79.59,"January 10, 25",-0.007881899999999999
2025-01-13,78.46,79.01,78.41,78.98,78.02,344400,344400,0.52,0.66276,78.715,"January 13, 25",0.0066276
2025-01-14,78.93,79.1,78.6,78.97,78.01,309500,309500,0.04,0.05067782,78.9,"January 14, 25",0.0005067782
2025-01-15,80.14,80.18,79.72,80.03,79.06,210400,210400,-0.11,-0.13726000000000002,80.0175,"January 15, 25",-0.0013725999999999999
2025-01-16,80.0,80.33,79.69,80.04,79.07,386500,386500,0.04,0.05,80.015,"January 16, 25",0.0005
2025-01-17,80.2,80.57,80.05,80.2,79.22,261034,261034,0.0,0.0,80.255,"January 17, 25",0.0
2025-01-21,81.06,81.75,81.02,81.75,80.76,819400,819400,0.6900000000000001,0.8512200000000001,81.395,"January 21, 25",0.0085122
2025-01-22,81.85,81.88,81.6,81.6,80.61,323900,323900,-0.25,-0.30544000000000004,81.7325,"January 22, 25",-0.0030543999999999997
2025-01-23,81.84,82.34,81.71,82.33,81.33,312700,312700,0.49,0.5987300000000001,82.055,"January 23, 25",0.0059873
2025-01-24,82.57,82.87,82.53,82.69,81.68,525838,525838,0.12,0.14533000000000001,82.665,"January 24, 25",0.0014533
2025-01-27,82.18,82.7,82.18,82.7,81.69,273100,273100,0.52,0.6327600000000001,82.44,"January 27, 25",0.0063276
2025-01-28,82.44,82.5,82.05,82.45,81.45,292049,292049,0.01,0.01213003,82.36,"January 28, 25",0.0001213003
2025-01-29,82.5,82.61,82.13,82.36,81.36,208729,208729,-0.14,-0.16970000000000002,82.4,"January 29, 25",-0.001697
2025-01-30,82.96,83.66,82.96,83.34,82.33,279500,279500,0.38,0.45805,83.23,"January 30, 25",0.0045804999999999995
2025-01-31,83.28,83.64,82.57,82.57,81.57,226700,226700,-0.71,-0.85255,83.015,"January 31, 25",-0.0085255
2025-02-03,81.34,82.23,81.22,81.86,80.86,299000,299000,0.52,0.63929,81.6625,"February 03, 25",0.0063929
2025-02-04,82.32,82.8,82.24,82.72,81.71,206933,206933,0.4,0.48591000000000006,82.52,"February 04, 25",0.0048591
2025-02-05,83.1,83.6,83.06,83.49,82.47,215100,215100,0.39,0.46931000000000006,83.3125,"February 05, 25",0.0046930999999999995
2025-02-06,83.38,83.67,83.27,83.46,82.44,285668,285668,0.08,0.09594627,83.445,"February 06, 25",0.0009594627
2025-02-07,83.49,83.51,82.64,82.73,81.72,293309,293309,-0.76,-0.91029,83.0925,"February 07, 25",-0.009102899999999999
2025-02-10,82.86,83.03,82.77,82.97,81.96,218945,218945,0.11,0.13275,82.9075,"February 10, 25",0.0013275
2025-02-11,82.83,83.36,82.82,83.25,82.24,471142,471142,0.42,0.5070600000000001,83.065,"February 11, 25",0.0050706
2025-02-12,82.45,83.24,82.31,83.11,82.1,293530,293530,0.66,0.80049,82.7775,"February 12, 25",0.008004899999999999
2025-02-13,83.87,84.54,83.77,84.54,83.51,301700,301700,0.67,0.79886,84.18,"February 13, 25",0.0079886
2025-02-14,84.9,84.97,84.56,84.6,83.57,221700,221700,-0.30000000000000004,-0.35336,84.7575,"February 14, 25",-0.0035336
2025-02-18,85.0,85.15,84.81,85.07,84.03,282236,282236,0.07,0.08235294,85.0075,"February 18, 25",0.0008235294000000001
2025-02-19,84.45,84.53,84.21,84.52,83.49,364400,364400,0.07,0.08288928,84.4275,"February 19, 25",0.0008288928000000001
2025-02-20,84.64,84.93,84.36,84.91,83.88,767022,767022,0.27,0.319,84.71,"February 20, 25",0.00319
