date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,549.32,549.6,539.56,541.41,537.88,5383235,5383235,-7.91,-1.44,544.9725,"January 07, 25",-0.014400000000000001
2025-01-08,541.32,543.0,538.08,542.14,538.6,4317000,4317000,0.8200000000000001,0.15148,541.135,"January 08, 25",0.0015148
2025-01-10,538.71,538.75,532.0,533.89,530.41,7935202,7935202,-4.82,-0.89473,535.8375,"January 10, 25",-0.0089473
2025-01-13,529.4,534.91,529.02,534.58,531.09,5621011,5621011,5.18,0.9784700000000001,531.9775,"January 13, 25",0.0097847
2025-01-14,537.32,537.91,531.81,535.26,531.77,8820003,8820003,-2.06,-0.38338000000000005,535.575,"January 14, 25",-0.0038337999999999996
2025-01-15,542.84,546.13,541.76,545.05,541.5,5307318,5307318,2.21,0.40712000000000004,543.945,"January 15, 25",0.0040712
2025-01-16,546.35,546.51,543.39,544.24,540.69,3632800,3632800,-2.11,-0.38620000000000004,545.1225,"January 16, 25",-0.003862
2025-01-17,548.92,551.12,547.68,549.46,545.88,6558700,6558700,0.54,0.09837499,549.295,"January 17, 25",0.0009837499
2025-01-21,552.32,554.46,550.5,554.46,550.84,5301700,5301700,2.14,0.38746,552.935,"January 21, 25",0.0038745999999999997
2025-01-22,557.19,558.93,556.73,557.61,553.97,4780036,4780036,0.42,0.07537824,557.615,"January 22, 25",0.0007537824000000001
2025-01-23,557.04,560.7,556.8,560.7,557.04,6217900,6217900,3.66,0.6570400000000001,558.81,"January 23, 25",0.0065704
2025-01-24,560.76,561.66,558.02,559.01,555.36,3612141,3612141,-1.75,-0.31208,559.8625,"January 24, 25",-0.0031208
2025-01-27,546.93,551.39,546.83,551.23,547.63,7617400,7617400,4.3,0.7862100000000001,549.095,"January 27, 25",0.0078621
2025-01-28,552.3,556.65,549.22,555.85,552.22,4164700,4164700,3.55,0.6427700000000001,553.505,"January 28, 25",0.0064277
