date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,295.84,295.87,290.4,291.41,289.51,3317000,3317000,-4.43,-1.5,293.38,"January 07, 25",-0.015
2025-01-08,291.42,292.25,289.51,291.68,289.78,2971327,2971327,0.26,0.08921831,291.215,"January 08, 25",0.0008921831
2025-01-10,290.05,290.05,286.22,287.3,285.43,4403722,4403722,-2.75,-0.9481100000000001,288.405,"January 10, 25",-0.0094811
2025-01-13,285.0,287.88,284.63,287.77,285.9,3633300,3633300,2.77,0.9719300000000001,286.32,"January 13, 25",0.0097193
2025-01-14,289.41,289.75,286.52,288.42,286.54,3803700,3803700,-0.99,-0.34208000000000005,288.525,"January 14, 25",-0.0034208
2025-01-15,292.71,294.3,292.17,293.71,291.8,2815300,2815300,1.0,0.34164000000000005,293.2225,"January 15, 25",0.0034164
2025-01-16,294.23,294.66,292.93,293.49,291.58,3130300,3130300,-0.74,-0.2515,293.8275,"January 16, 25",-0.002515
2025-01-17,296.18,297.12,295.44,296.2,294.27,2603208,2603208,0.02,0.00675265,296.235,"January 17, 25",6.75265e-05
2025-01-21,297.75,299.22,296.91,299.14,297.19,3893500,3893500,1.3900000000000001,0.46683,298.255,"January 21, 25",0.004668299999999999
2025-01-22,300.59,301.29,300.27,300.6,298.64,3515706,3515706,0.01,0.00332679,300.6875,"January 22, 25",3.32679e-05
2025-01-23,300.24,302.18,300.02,302.18,300.21,2647808,2647808,1.94,0.64615,301.155,"January 23, 25",0.006461499999999999
2025-01-24,302.26,302.67,300.8,301.3,299.34,2359005,2359005,-0.96,-0.31761,301.7575,"January 24, 25",-0.0031761
2025-01-27,295.0,297.58,294.44,297.1,295.17,5321300,5321300,2.1,0.71186,296.03,"January 27, 25",0.0071186
2025-01-28,297.9,300.11,296.2,299.65,297.7,2717300,2717300,1.75,0.58745,298.465,"January 28, 25",0.0058744999999999995
2025-01-29,299.32,299.6,296.97,298.37,296.43,2620205,2620205,-0.9500000000000001,-0.31739,298.565,"January 29, 25",-0.0031739
2025-01-30,299.5,301.11,298.28,300.24,298.29,2891224,2891224,0.74,0.24708000000000002,299.7825,"January 30, 25",0.0024708
2025-01-31,301.22,302.6,298.23,298.6,296.66,3338500,3338500,-2.62,-0.8698,300.1625,"January 31, 25",-0.008698
2025-02-03,293.32,297.7,292.7,296.42,294.49,5037717,5037717,3.1,1.06,295.035,"February 03, 25",0.0106
