date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,170.85,171.31,169.47,170.0,168.09,2218569,2218569,-0.85,-0.49751000000000006,170.4075,"January 07, 25",-0.0049751
2025-01-08,169.65,170.25,168.68,170.16,168.25,2055600,2055600,0.51,0.30062,169.685,"January 08, 25",0.0030061999999999997
2025-01-10,169.24,169.68,167.52,167.73,165.85,2659383,2659383,-1.51,-0.8922200000000001,168.5425,"January 10, 25",-0.0089222
2025-01-13,167.39,169.31,167.36,169.24,167.34,3199867,3199867,1.85,1.11,168.325,"January 13, 25",0.0111
2025-01-14,169.86,170.64,169.15,170.56,168.64,2790222,2790222,0.7000000000000001,0.4121,170.0525,"January 14, 25",0.004121
2025-01-15,172.81,173.02,171.92,172.45,170.51,2367930,2367930,-0.36,-0.20832,172.55,"January 15, 25",-0.0020832
2025-01-16,172.58,173.78,172.19,173.7,171.75,2828194,2828194,1.12,0.64897,173.0625,"January 16, 25",0.006489699999999999
2025-01-17,174.32,175.18,173.96,174.68,172.72,2807239,2807239,0.36,0.20652,174.535,"January 17, 25",0.0020652
2025-01-21,175.49,176.89,175.49,176.88,174.89,2943544,2943544,1.3900000000000001,0.79207,176.1875,"January 21, 25",0.0079207
2025-01-22,177.11,177.12,175.94,175.97,173.99,2017437,2017437,-1.1400000000000001,-0.6436700000000001,176.535,"January 22, 25",-0.0064367
2025-01-23,176.31,177.3,176.01,177.3,175.31,1723700,1723700,0.99,0.5615100000000001,176.73,"January 23, 25",0.0056151
2025-01-24,177.22,177.76,176.93,177.25,175.26,1804260,1804260,0.03,0.01692811,177.29,"January 24, 25",0.0001692811
2025-01-27,176.22,177.61,176.17,177.61,175.61,3838031,3838031,1.3900000000000001,0.7887900000000001,176.9025,"January 27, 25",0.0078879
2025-01-28,177.53,177.53,175.92,176.12,174.14,1905400,1905400,-1.4100000000000001,-0.7942300000000001,176.775,"January 28, 25",-0.0079423
