date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,423.08,423.08,411.58,413.07,412.05,1334788,1334788,-10.01,-2.37,417.7025,"January 07, 25",-0.023700000000000002
2025-01-08,413.78,415.25,410.21,413.69,412.67,1103954,1103954,-0.09,-0.02175069,413.2325,"January 08, 25",-0.0002175069
2025-01-10,411.11,411.11,404.25,407.33,406.33,1811926,1811926,-3.7800000000000002,-0.91946,408.45,"January 10, 25",-0.009194599999999999
2025-01-13,401.65,405.74,400.36,405.52,404.52,1796748,1796748,3.87,0.9635300000000001,403.3175,"January 13, 25",0.0096353
2025-01-14,408.32,408.74,401.42,403.83,402.84,1908380,1908380,-4.49,-1.1,405.5775,"January 14, 25",-0.011
2025-01-15,410.4,414.42,408.8,413.76,412.74,2503336,2503336,3.36,0.81871,411.845,"January 15, 25",0.0081871
2025-01-16,415.42,415.42,410.3,410.5,409.49,1216111,1216111,-4.92,-1.18,412.91,"January 16, 25",-0.0118
2025-01-17,417.16,417.65,414.12,415.91,414.89,1683826,1683826,-1.25,-0.29965,416.21,"January 17, 25",-0.0029965
2025-01-21,417.62,418.77,413.94,418.41,417.38,1480217,1480217,0.79,0.18917,417.185,"January 21, 25",0.0018916999999999998
2025-01-22,422.61,425.65,421.65,424.5,423.46,1211941,1211941,1.8900000000000001,0.44722000000000006,423.6025,"January 22, 25",0.0044722
2025-01-23,423.25,426.1,422.41,426.08,425.03,1041025,1041025,2.83,0.66864,424.46,"January 23, 25",0.0066863999999999995
2025-01-24,426.83,427.68,422.78,424.02,422.98,877512,877512,-2.81,-0.65834,425.3275,"January 24, 25",-0.0065834
2025-01-27,408.53,415.39,408.52,412.93,411.91,1714123,1714123,4.4,1.08,411.3425,"January 27, 25",0.0108
2025-01-28,414.3,423.0,412.29,422.14,421.1,1029148,1029148,7.84,1.8900000000000001,417.9325,"January 28, 25",0.0189
2025-01-29,420.91,421.0,416.23,419.38,418.35,1055400,1055400,-1.53,-0.3635,419.38,"January 29, 25",-0.0036349999999999998
2025-01-30,419.51,422.14,415.47,419.95,418.92,1029369,1029369,0.44,0.10488000000000001,419.2675,"January 30, 25",0.0010488
2025-01-31,423.75,425.78,417.43,418.35,417.32,1009329,1009329,-5.4,-1.27,421.3275,"January 31, 25",-0.012700000000000001
2025-02-03,410.07,416.56,408.47,414.22,413.2,2085615,2085615,4.15,1.01,412.33,"February 03, 25",0.010100000000000001
2025-02-04,415.24,419.59,414.81,419.59,418.56,942933,942933,4.35,1.05,417.3075,"February 04, 25",0.0105
2025-02-05,417.03,420.36,416.02,420.33,419.3,1117621,1117621,3.3,0.7913100000000001,418.435,"February 05, 25",0.0079131
2025-02-06,420.87,423.36,420.15,423.21,422.17,1029180,1029180,2.34,0.5559900000000001,421.8975,"February 06, 25",0.0055598999999999996
2025-02-07,423.51,425.48,418.11,418.82,417.79,1030960,1030960,-4.69,-1.11,421.48,"February 07, 25",-0.0111
2025-02-10,421.5,423.98,421.36,422.73,421.69,1172600,1172600,1.23,0.29181,422.3925,"February 10, 25",0.0029181
2025-02-11,420.85,423.26,420.0,421.93,420.89,1205987,1205987,1.08,0.25662,421.51,"February 11, 25",0.0025662
2025-02-12,417.11,422.13,416.63,421.44,420.4,898277,898277,4.33,1.04,419.3275,"February 12, 25",0.010400000000000001
2025-02-13,421.85,426.88,420.96,426.77,425.72,1165155,1165155,4.92,1.17,424.115,"February 13, 25",0.0117
2025-02-14,426.77,428.0,426.0,427.52,426.47,717637,717637,0.75,0.17574,427.0725,"February 14, 25",0.0017573999999999999
2025-02-18,429.11,429.11,424.76,427.5,426.45,998431,998431,-1.6099999999999999,-0.37520000000000003,427.62,"February 18, 25",-0.0037519999999999997
2025-02-19,426.95,428.43,424.86,427.61,426.56,789233,789233,0.66,0.15458000000000002,426.9625,"February 19, 25",0.0015458
2025-02-20,427.19,427.19,422.0,425.43,424.38,1190974,1190974,-1.76,-0.41199,425.4525,"February 20, 25",-0.0041199
2025-02-21,426.07,426.09,415.61,416.02,415.0,1065036,1065036,-10.05,-2.36,420.9475,"February 21, 25",-0.0236
2025-02-24,417.49,418.77,411.01,411.89,410.88,1193934,1193934,-5.6,-1.34,414.79,"February 24, 25",-0.0134
2025-02-25,411.07,411.29,403.27,407.34,406.34,1215900,1215900,-3.73,-0.90739,408.2425,"February 25, 25",-0.0090739
2025-02-26,409.34,413.2,406.51,408.87,407.86,1095800,1095800,-0.47000000000000003,-0.11482,409.48,"February 26, 25",-0.0011482
2025-02-27,411.75,412.65,398.25,398.6,397.62,1167720,1167720,-13.15,-3.19,405.3125,"February 27, 25",-0.031900000000000005
2025-02-28,398.11,405.99,395.26,405.73,404.73,1981011,1981011,7.62,1.9100000000000001,401.2725,"February 28, 25",0.019100000000000002
2025-03-03,407.38,408.66,392.86,395.86,394.89,2107913,2107913,-11.52,-2.83,401.19,"March 03, 25",-0.028300000000000002
2025-03-04,391.62,400.08,386.93,393.47,392.5,1908600,1908600,1.85,0.47240000000000004,393.025,"March 04, 25",0.004724
2025-03-05,393.53,400.3,390.45,399.24,398.26,1505803,1505803,5.71,1.45,395.88,"March 05, 25",0.0145
2025-03-06,392.51,396.51,386.02,387.86,386.91,1733600,1733600,-4.65,-1.18,390.725,"March 06, 25",-0.0118
2025-03-07,386.35,390.53,379.54,388.71,387.75,1489548,1489548,2.36,0.61085,386.2825,"March 07, 25",0.006108499999999999
2025-03-10,381.42,381.43,369.19,372.9,371.98,2272100,2272100,-8.52,-2.23,376.235,"March 10, 25",-0.0223
2025-03-11,371.79,377.49,368.02,371.8,370.89,2785163,2785163,0.01,0.0026896900000000002,372.275,"March 11, 25",2.68969e-05
2025-03-12,378.63,380.3,372.06,376.91,375.98,3783547,3783547,-1.72,-0.45427000000000006,376.975,"March 12, 25",-0.0045427
2025-03-13,376.37,376.37,367.67,369.1,368.19,2352724,2352724,-7.27,-1.9300000000000002,372.3775,"March 13, 25",-0.0193
2025-03-14,373.22,378.86,372.65,378.33,377.4,1857002,1857002,5.11,1.37,375.765,"March 14, 25",0.0137
2025-03-17,378.12,382.04,376.03,379.56,378.63,1878841,1878841,1.44,0.38083000000000006,378.9375,"March 17, 25",0.0038082999999999997
2025-03-18,377.03,377.13,371.39,373.34,372.42,1801884,1801884,-3.69,-0.9787,374.7225,"March 18, 25",-0.009786999999999999
2025-03-19,375.68,382.66,374.45,379.06,378.13,1447900,1447900,3.38,0.8997,377.9625,"March 19, 25",0.008997
2025-03-20,376.41,382.91,375.7,378.14,377.21,1161600,1161600,1.73,0.45961,378.29,"March 20, 25",0.0045961
2025-03-21,374.79,380.76,373.5,380.36,379.42,2082551,2082551,5.57,1.49,377.3525,"March 21, 25",0.0149
2025-03-24,386.16,389.94,385.56,389.2,388.24,1113824,1113824,3.04,0.78724,387.715,"March 24, 25",0.0078724
2025-03-25,390.06,391.97,389.2,391.7,390.74,2339100,2339100,1.6400000000000001,0.42045000000000005,390.7325,"March 25, 25",0.0042045
2025-03-26,390.57,390.75,381.71,383.03,382.09,936785,936785,-7.54,-1.9300000000000002,386.515,"March 26, 25",-0.0193
2025-03-27,380.66,384.37,378.95,380.59,380.15,981907,981907,-0.07,-0.01838911,381.1425,"March 27, 25",-0.0001838911
2025-03-28,378.52,379.81,369.54,370.43,370.0,2369747,2369747,-8.09,-2.14,374.575,"March 28, 25",-0.021400000000000002
2025-03-31,364.38,371.61,360.17,370.82,370.39,1832381,1832381,6.44,1.77,366.745,"March 31, 25",0.0177
2025-04-01,369.37,375.12,367.63,374.17,373.74,2520281,2520281,4.8,1.3,371.5725,"April 01, 25",0.013000000000000001
2025-04-02,368.83,379.95,368.5,377.29,376.85,1277400,1277400,8.46,2.29,373.6425,"April 02, 25",0.0229
2025-04-03,359.78,362.33,355.11,355.58,355.17,2873605,2873605,-4.2,-1.17,358.2,"April 03, 25",-0.0117
2025-04-04,344.47,346.87,333.78,334.02,333.63,5173805,5173805,-10.45,-3.03,339.785,"April 04, 25",-0.0303
2025-04-07,320.27,349.18,316.14,334.42,334.03,5388837,5388837,14.15,4.42,330.0025,"April 07, 25",0.0442
2025-04-08,348.46,351.0,323.8,329.49,329.11,3560600,3560600,-18.96,-5.44,338.1875,"April 08, 25",-0.054400000000000004
2025-04-09,328.49,369.8,327.92,367.8,367.37,4992900,4992900,39.31,11.97,348.5025,"April 09, 25",0.1197
2025-04-10,358.09,359.66,341.77,353.29,352.88,2960208,2960208,-4.8,-1.34,353.2025,"April 10, 25",-0.0134
2025-04-11,351.7,361.27,349.73,360.2,359.78,2032579,2032579,8.5,2.42,355.725,"April 11, 25",0.024200000000000003
2025-04-14,368.63,369.08,358.77,362.58,362.16,1765747,1765747,-6.05,-1.6400000000000001,364.765,"April 14, 25",-0.0164
2025-04-15,362.88,365.46,361.0,362.26,361.84,1460900,1460900,-0.62,-0.17086,362.9,"April 15, 25",-0.0017086
2025-04-16,355.13,358.04,346.51,351.21,350.8,1688731,1688731,-3.92,-1.1,352.7225,"April 16, 25",-0.011
2025-04-17,354.98,355.11,349.86,352.14,351.73,1261546,1261546,-2.84,-0.80005,353.0225,"April 17, 25",-0.008000499999999999
2025-04-21,347.0,347.44,337.88,342.44,342.04,2407700,2407700,-4.5600000000000005,-1.31,343.69,"April 21, 25",-0.0131
2025-04-22,346.75,353.85,345.33,351.63,351.22,1566523,1566523,4.88,1.4100000000000001,349.39,"April 22, 25",0.014100000000000001
2025-04-23,364.17,367.49,358.97,360.45,360.03,1393040,1393040,-3.7199999999999998,-1.02,362.77,"April 23, 25",-0.0102
2025-04-24,362.28,371.35,361.68,370.92,370.49,925543,925543,8.64,2.38,366.5575,"April 24, 25",0.0238
2025-04-25,371.61,377.1,370.55,376.48,376.04,1425919,1425919,4.87,1.31,373.935,"April 25, 25",0.0131
2025-04-28,377.17,378.26,371.18,376.0,375.57,1011439,1011439,-1.17,-0.31020000000000003,375.6525,"April 28, 25",-0.0031019999999999997
2025-04-29,374.53,379.46,374.42,378.75,378.31,961405,961405,4.22,1.13,376.79,"April 29, 25",0.011300000000000001
