date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,44.32,44.36,43.83,43.85,43.68,9112774,9112774,-0.47000000000000003,-1.06,44.09,"January 07, 25",-0.0106
2025-01-08,43.59,43.62,43.41,43.57,43.4,7992018,7992018,-0.02,-0.04588208,43.5475,"January 08, 25",-0.00045882080000000003
2025-01-10,43.0,43.02,42.72,42.81,42.64,13572464,13572464,-0.19,-0.44186000000000003,42.8875,"January 10, 25",-0.0044186
2025-01-13,42.3,42.5,42.25,42.5,42.33,8281933,8281933,0.2,0.47281000000000006,42.3875,"January 13, 25",0.0047281
2025-01-14,43.2,43.2,42.83,43.01,42.84,20008001,20008001,-0.19,-0.43981000000000003,43.06,"January 14, 25",-0.004398099999999999
2025-01-15,43.46,43.51,43.3,43.46,43.29,8990082,8990082,0.0,0.0,43.4325,"January 15, 25",0.0
2025-01-16,43.6,43.61,43.44,43.44,43.27,7984300,7984300,-0.16,-0.36697,43.5225,"January 16, 25",-0.0036696999999999997
2025-01-17,43.61,44.09,43.59,43.8,43.63,7930789,7930789,0.19,0.43568,43.7725,"January 17, 25",0.0043568
2025-01-21,44.14,44.27,43.99,44.21,44.04,8541831,8541831,0.07,0.15859,44.1525,"January 21, 25",0.0015859
2025-01-22,44.21,44.28,44.04,44.17,44.0,8276051,8276051,-0.04,-0.09047727,44.175,"January 22, 25",-0.0009047727
2025-01-23,44.14,44.36,44.07,44.34,44.17,5612453,5612453,0.2,0.4531,44.2275,"January 23, 25",0.0045309999999999994
2025-01-24,44.52,44.63,44.36,44.58,44.41,5863624,5863624,0.06,0.13477,44.5225,"January 24, 25",0.0013476999999999999
2025-01-27,44.0,44.0,43.74,43.86,43.69,8042896,8042896,-0.14,-0.31818,43.9,"January 27, 25",-0.0031818
2025-01-28,43.88,44.14,43.63,44.11,43.94,6716533,6716533,0.23,0.5241600000000001,43.94,"January 28, 25",0.0052416
2025-01-29,44.33,44.45,44.09,44.14,43.97,8798900,8798900,-0.19,-0.42860000000000004,44.2525,"January 29, 25",-0.004286
2025-01-30,44.44,44.95,44.42,44.82,44.65,7179403,7179403,0.38,0.85509,44.6575,"January 30, 25",0.0085509
2025-01-31,44.88,44.97,44.34,44.4,44.23,9880218,9880218,-0.48,-1.07,44.6475,"January 31, 25",-0.010700000000000001
2025-02-03,43.75,44.38,43.66,44.14,43.97,14712391,14712391,0.39,0.8914300000000001,43.9825,"February 03, 25",0.0089143
2025-02-04,44.59,44.98,44.52,44.85,44.68,5601004,5601004,0.26,0.58309,44.735,"February 04, 25",0.0058309
2025-02-05,44.64,44.78,44.57,44.65,44.48,5502226,5502226,0.01,0.02240143,44.66,"February 05, 25",0.00022401430000000002
2025-02-06,44.77,44.86,44.7,44.86,44.69,6457500,6457500,0.09,0.20103000000000001,44.7975,"February 06, 25",0.0020103
2025-02-07,45.26,45.37,44.84,44.88,44.71,8335048,8335048,-0.38,-0.8395900000000001,45.0875,"February 07, 25",-0.0083959
2025-02-10,45.2,45.34,45.15,45.33,45.15,4835847,4835847,0.13,0.28761000000000003,45.255,"February 10, 25",0.0028761
2025-02-11,45.02,45.25,44.93,45.14,44.96,4066468,4066468,0.12,0.26655,45.085,"February 11, 25",0.0026655
2025-02-12,45.06,45.49,44.97,45.36,45.18,7962454,7962454,0.30000000000000004,0.66578,45.22,"February 12, 25",0.006657799999999999
2025-02-13,45.0,45.61,45.0,45.6,45.42,8905428,8905428,0.6000000000000001,1.33,45.3025,"February 13, 25",0.013300000000000001
2025-02-14,45.77,45.9,45.69,45.88,45.7,5739886,5739886,0.11,0.24033000000000002,45.81,"February 14, 25",0.0024032999999999997
2025-02-18,46.12,46.21,46.02,46.1,45.92,7227197,7227197,-0.02,-0.04336513,46.1125,"February 18, 25",-0.0004336513
2025-02-19,46.02,46.06,45.9,45.97,45.79,4656986,4656986,-0.05,-0.10865000000000001,45.9875,"February 19, 25",-0.0010865
2025-02-20,46.38,46.65,46.21,46.46,46.28,11032806,11032806,0.085,0.17249,46.425,"February 20, 25",0.0017249
2025-02-21,46.71,46.88,46.26,46.4,46.22,8865470,8865470,-0.31,-0.6636700000000001,46.5625,"February 21, 25",-0.0066367
2025-02-24,46.16,46.16,45.66,45.69,45.51,7218620,7218620,-0.465,-1.02,45.9175,"February 24, 25",-0.0102
2025-02-25,45.72,45.8,45.51,45.67,45.49,8254844,8254844,-0.05,-0.10936000000000001,45.675,"February 25, 25",-0.0010936
2025-02-26,46.16,46.39,45.98,46.11,45.93,10751851,10751851,-0.05,-0.10832000000000001,46.16,"February 26, 25",-0.0010831999999999999
2025-02-27,45.8,45.83,45.26,45.3,45.12,7357200,7357200,-0.495,-1.09,45.5475,"February 27, 25",-0.0109
2025-02-28,44.58,44.76,44.37,44.73,44.56,9729724,9729724,0.15,0.33647000000000005,44.61,"February 28, 25",0.0033647
2025-03-03,44.93,45.04,44.16,44.3,44.13,15146937,15146937,-0.63,-1.4,44.6075,"March 03, 25",-0.014
2025-03-04,44.45,45.05,44.23,44.68,44.51,10263534,10263534,0.23,0.51744,44.6025,"March 04, 25",0.0051744
2025-03-05,45.48,46.08,45.37,46.01,45.83,12869100,12869100,0.53,1.17,45.735,"March 05, 25",0.0117
2025-03-06,46.0,46.18,45.74,45.77,45.59,10690504,10690504,-0.23,-0.5,45.9225,"March 06, 25",-0.005
2025-03-07,45.9,46.13,45.59,45.96,45.78,7457138,7457138,0.06,0.13072,45.895,"March 07, 25",0.0013072
2025-03-10,45.43,45.43,44.65,44.93,44.76,9895200,9895200,-0.5,-1.1,45.11,"March 10, 25",-0.011
2025-03-11,45.27,45.51,44.98,45.25,45.07,7704646,7704646,-0.02,-0.04417937,45.2525,"March 11, 25",-0.0004417937
2025-03-12,45.36,45.47,45.1,45.41,45.23,9466040,9466040,0.05,0.11023000000000001,45.335,"March 12, 25",0.0011022999999999999
2025-03-13,45.02,45.38,44.94,45.27,45.09,7420017,7420017,0.25,0.5553100000000001,45.1525,"March 13, 25",0.0055531
2025-03-14,45.82,46.11,45.79,46.08,45.9,6944998,6944998,0.26,0.56744,45.95,"March 14, 25",0.0056744
2025-03-17,46.13,46.77,46.08,46.71,46.53,9626800,9626800,0.58,1.26,46.4225,"March 17, 25",0.0126
2025-03-18,46.73,46.73,46.42,46.59,46.41,7580768,7580768,-0.14,-0.29959,46.6175,"March 18, 25",-0.0029958999999999997
2025-03-19,46.72,46.83,46.47,46.66,46.48,8008296,8008296,-0.06,-0.12842,46.67,"March 19, 25",-0.0012841999999999999
2025-03-20,46.14,46.34,46.04,46.24,46.06,6651903,6651903,0.1,0.21673,46.19,"March 20, 25",0.0021673
2025-03-21,45.92,46.08,45.82,45.98,45.85,5581426,5581426,0.06,0.13066,45.95,"March 21, 25",0.0013066
2025-03-24,46.18,46.28,46.06,46.12,45.99,6227126,6227126,-0.06,-0.12993000000000002,46.16,"March 24, 25",-0.0012993
2025-03-25,46.12,46.26,46.03,46.07,45.94,5974200,5974200,-0.05,-0.10841,46.12,"March 25, 25",-0.0010841
2025-03-26,46.05,46.12,45.73,45.79,45.66,9811803,9811803,-0.26,-0.5646,45.9225,"March 26, 25",-0.005646
2025-03-27,45.77,46.21,45.77,46.09,45.96,5447716,5447716,0.32,0.69915,45.96,"March 27, 25",0.0069914999999999995
2025-03-28,45.79,45.79,45.23,45.31,45.18,9167669,9167669,-0.48,-1.05,45.53,"March 28, 25",-0.0105
2025-03-31,44.94,45.29,44.72,45.26,45.13,8140410,8140410,0.32,0.71206,45.0525,"March 31, 25",0.0071205999999999995
2025-04-01,45.3,45.47,45.05,45.41,45.28,13223501,13223501,0.11,0.24283000000000002,45.3075,"April 01, 25",0.0024283
2025-04-02,45.31,45.59,45.28,45.45,45.32,6058615,6058615,0.14,0.30898000000000003,45.4075,"April 02, 25",0.0030897999999999998
2025-04-03,44.64,44.9,44.57,44.63,44.5,11227700,11227700,-0.01,-0.02240143,44.685,"April 03, 25",-0.00022401430000000002
2025-04-04,42.79,43.06,41.69,42.13,42.01,31160900,31160900,-0.66,-1.54,42.4175,"April 04, 25",-0.0154
2025-04-07,40.09,41.87,39.93,40.43,40.31,38745444,38745444,0.34,0.8480900000000001,40.58,"April 07, 25",0.0084809
2025-04-08,41.7,41.7,39.53,39.89,39.78,21585800,21585800,-1.81,-4.34,40.705,"April 08, 25",-0.0434
