date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,128.65,128.84,127.41,127.76,126.08,1119700,1119700,-0.89,-0.6918000000000001,128.165,"January 07, 25",-0.006918
2025-01-08,127.58,128.02,126.84,127.96,126.28,1097832,1097832,0.38,0.29785,127.6,"January 08, 25",0.0029785
2025-01-10,127.3,127.6,125.87,126.11,124.46,1829301,1829301,-1.19,-0.9348000000000001,126.72,"January 10, 25",-0.009348
2025-01-13,125.8,127.26,125.75,127.2,125.53,1924643,1924643,1.4,1.11,126.5025,"January 13, 25",0.0111
2025-01-14,127.65,128.28,127.19,128.28,126.6,993209,993209,0.63,0.49354000000000003,127.85,"January 14, 25",0.0049353999999999995
2025-01-15,130.06,130.23,129.45,129.89,128.19,1038600,1038600,-0.17,-0.13071000000000002,129.9075,"January 15, 25",-0.0013070999999999998
2025-01-16,129.94,130.88,129.76,130.72,129.0,1152867,1152867,0.78,0.60028,130.325,"January 16, 25",0.0060028
2025-01-17,131.39,131.89,131.06,131.69,129.96,1402849,1402849,0.30000000000000004,0.22833,131.5075,"January 17, 25",0.0022833
2025-01-21,132.25,133.11,132.05,132.94,131.2,2503059,2503059,0.6900000000000001,0.5217400000000001,132.5875,"January 21, 25",0.0052174
2025-01-22,132.96,133.02,132.0,132.01,130.28,1920200,1920200,-0.9500000000000001,-0.7145,132.4975,"January 22, 25",-0.0071449999999999994
2025-01-23,132.14,133.0,132.13,133.0,131.26,1142939,1142939,0.86,0.6508200000000001,132.5675,"January 23, 25",0.0065082
2025-01-24,133.0,133.44,132.91,133.06,131.31,979100,979100,0.06,0.04511278,133.1025,"January 24, 25",0.0004511278
2025-01-27,132.0,132.75,131.71,132.72,130.98,1414419,1414419,0.72,0.54545,132.295,"January 27, 25",0.0054545
2025-01-28,132.7,132.7,131.47,131.84,130.11,1068444,1068444,-0.86,-0.6480800000000001,132.1775,"January 28, 25",-0.0064808
2025-01-29,131.93,132.99,131.61,131.88,130.15,1007920,1007920,-0.05,-0.03789889,132.1025,"January 29, 25",-0.0003789889
2025-01-30,132.79,133.37,132.25,133.01,131.26,994965,994965,0.22,0.16568000000000002,132.855,"January 30, 25",0.0016568
2025-01-31,133.12,133.57,132.15,132.36,130.62,1343495,1343495,-0.76,-0.57091,132.8,"January 31, 25",-0.0057091
2025-02-03,130.72,132.32,130.25,131.91,130.18,2331331,2331331,1.19,0.91034,131.3,"February 03, 25",0.0091034
2025-02-04,131.6,132.29,131.25,132.15,130.42,2123168,2123168,0.55,0.41793,131.8225,"February 04, 25",0.0041792999999999995
2025-02-05,132.78,133.44,132.0,133.32,131.57,2063983,2063983,0.54,0.40669000000000005,132.885,"February 05, 25",0.0040669
2025-02-06,133.89,134.0,132.6,133.29,131.54,2914303,2914303,-0.6000000000000001,-0.44813000000000003,133.445,"February 06, 25",-0.0044813
2025-02-07,133.54,133.56,132.27,132.32,130.58,833102,833102,-1.22,-0.9135800000000001,132.9225,"February 07, 25",-0.0091358
2025-02-10,132.99,133.14,132.26,133.04,131.29,1038006,1038006,0.05,0.03759681,132.8575,"February 10, 25",0.0003759681
2025-02-11,132.78,133.84,132.46,133.81,132.05,843501,843501,1.03,0.7757200000000001,133.2225,"February 11, 25",0.0077572
2025-02-12,132.63,133.34,132.51,133.15,131.4,902144,902144,0.52,0.39207000000000003,132.9075,"February 12, 25",0.0039207
2025-02-13,133.42,134.06,133.06,133.95,132.19,2527839,2527839,0.53,0.39724000000000004,133.6225,"February 13, 25",0.0039724
2025-02-14,134.16,134.52,133.67,133.77,132.01,1590040,1590040,-0.39,-0.2907,134.03,"February 14, 25",-0.002907
2025-02-18,133.64,134.5,133.32,134.5,132.74,2415009,2415009,0.86,0.6435200000000001,133.99,"February 18, 25",0.006435199999999999
2025-02-19,134.2,135.1,134.11,135.06,133.29,2445603,2445603,0.86,0.64083,134.6175,"February 19, 25",0.0064083
2025-02-20,134.61,134.76,133.74,134.6,132.83,1868546,1868546,-0.01,-0.00742887,134.4275,"February 20, 25",-7.42887e-05
2025-02-21,134.58,134.65,133.17,133.32,131.57,1118846,1118846,-1.26,-0.93625,133.93,"February 21, 25",-0.0093625
2025-02-24,133.58,133.88,132.91,133.0,131.26,987215,987215,-0.58,-0.43420000000000003,133.3425,"February 24, 25",-0.0043419999999999995
2025-02-25,133.23,133.75,132.52,133.19,131.44,1049416,1049416,-0.04,-0.03002327,133.1725,"February 25, 25",-0.0003002327
2025-02-26,133.35,133.74,132.49,132.91,131.17,866400,866400,-0.44,-0.32996000000000003,133.1225,"February 26, 25",-0.0032995999999999998
2025-02-27,132.99,133.8,132.13,132.18,130.45,961890,961890,-0.81,-0.60907,132.775,"February 27, 25",-0.0060907
2025-02-28,132.52,134.13,131.87,134.05,132.29,1152981,1152981,1.53,1.15,133.1425,"February 28, 25",0.0115
2025-03-03,134.37,134.77,131.86,132.7,130.96,1500500,1500500,-1.67,-1.24,133.425,"March 03, 25",-0.012400000000000001
2025-03-04,132.16,132.17,129.8,129.99,128.28,1648500,1648500,-2.17,-1.6400000000000001,131.03,"March 04, 25",-0.0164
2025-03-05,129.99,131.23,129.16,130.77,129.05,1384088,1384088,0.78,0.6000500000000001,130.2875,"March 05, 25",0.0060005
