date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,91.7,91.94,90.45,90.81,90.34,11238044,11238044,-0.89,-0.9705600000000001,91.225,"January 07, 25",-0.0097056
2025-01-08,91.11,91.85,90.82,91.8,91.33,13453627,13453627,0.6900000000000001,0.7573300000000001,91.395,"January 08, 25",0.0075733
2025-01-10,92.49,93.58,92.2,93.0,92.52,18140900,18140900,0.51,0.5514100000000001,92.8175,"January 10, 25",0.0055141
2025-01-13,92.12,92.43,91.1,91.53,91.06,18617100,18617100,-0.59,-0.6404700000000001,91.795,"January 13, 25",-0.006404699999999999
2025-01-14,91.86,91.98,90.57,90.79,90.32,13549200,13549200,-1.07,-1.16,91.3,"January 14, 25",-0.011600000000000001
2025-01-15,91.07,91.73,90.81,91.34,90.87,17348200,17348200,0.275,0.29648,91.2375,"January 15, 25",0.0029648
2025-01-16,91.5,91.72,90.12,91.3,90.83,13267723,13267723,-0.2,-0.21858000000000002,91.16,"January 16, 25",-0.0021858
2025-01-17,92.07,92.26,91.05,91.94,91.47,15868213,15868213,-0.13,-0.14120000000000002,91.83,"January 17, 25",-0.0014119999999999998
2025-01-21,92.48,94.24,92.31,93.08,92.6,23247500,23247500,0.6000000000000001,0.6487900000000001,93.0275,"January 21, 25",0.0064879
2025-01-22,93.77,94.0,92.52,93.23,92.75,15567100,15567100,-0.54,-0.5758800000000001,93.38,"January 22, 25",-0.0057588
2025-01-23,92.96,93.81,92.32,93.81,93.33,14198438,14198438,0.85,0.9143700000000001,93.225,"January 23, 25",0.0091437
2025-01-24,93.54,95.01,93.46,94.76,94.27,14973800,14973800,1.22,1.3,94.1925,"January 24, 25",0.013000000000000001
2025-01-27,95.9,97.46,94.82,97.4,96.9,18880614,18880614,1.5,1.56,96.395,"January 27, 25",0.015600000000000001
2025-01-28,97.23,97.84,96.73,97.29,96.79,14641621,14641621,0.06,0.06170935,97.2725,"January 28, 25",0.0006170935
2025-01-29,97.43,98.17,97.22,97.5,97.0,11261444,11261444,0.075,0.07184645,97.58,"January 29, 25",0.0007184645
2025-01-30,97.69,98.93,97.42,98.65,98.14,11012220,11012220,0.96,0.9827,98.1725,"January 30, 25",0.009826999999999999
2025-01-31,99.0,99.0,97.7,98.16,97.66,16413900,16413900,-0.84,-0.8484800000000001,98.465,"January 31, 25",-0.008484799999999999
2025-02-03,96.77,99.79,96.47,99.54,99.03,20484200,20484200,2.77,2.86,98.1425,"February 03, 25",0.0286
2025-02-04,99.97,100.95,99.69,100.77,100.25,15201200,15201200,0.8,0.8002400000000001,100.345,"February 04, 25",0.0080024
2025-02-05,100.65,102.58,100.54,102.46,101.93,15926717,15926717,1.81,1.8,101.5575,"February 05, 25",0.018000000000000002
2025-02-06,102.53,103.02,101.94,102.85,102.32,13088500,13088500,0.32,0.3121,102.585,"February 06, 25",0.0031209999999999996
2025-02-07,103.0,103.11,101.11,101.15,100.63,12451100,12451100,-1.85,-1.8,102.0925,"February 07, 25",-0.018000000000000002
2025-02-10,101.95,102.93,101.25,102.92,102.39,15274644,15274644,0.97,0.9514500000000001,102.2625,"February 10, 25",0.0095145
2025-02-11,102.62,102.85,101.85,102.47,101.94,11953632,11953632,-0.15,-0.14617000000000002,102.4475,"February 11, 25",-0.0014617
2025-02-12,102.12,103.9,102.04,103.61,103.08,15162125,15162125,1.49,1.46,102.9175,"February 12, 25",0.0146
2025-02-13,104.0,105.24,103.53,105.05,104.51,12604413,12604413,1.05,1.01,104.455,"February 13, 25",0.010100000000000001
2025-02-14,105.3,105.3,103.6,104.04,103.5,14109500,14109500,-1.26,-1.2,104.56,"February 14, 25",-0.012
2025-02-18,103.72,103.99,102.51,103.78,103.25,18247314,18247314,0.06,0.05784805,103.5,"February 18, 25",0.0005784805
2025-02-19,103.85,104.2,102.55,104.0,103.47,18508000,18508000,0.15,0.14444,103.65,"February 19, 25",0.0014444
2025-02-20,98.78,100.12,96.68,97.21,96.71,55450924,55450924,-1.57,-1.5899999999999999,98.1975,"February 20, 25",-0.0159
2025-02-21,96.53,96.85,94.12,94.78,94.29,35014806,35014806,-1.75,-1.81,95.57,"February 21, 25",-0.0181
2025-02-24,94.18,94.64,92.12,93.67,93.19,29755900,29755900,-0.51,-0.54152,93.6525,"February 24, 25",-0.005415199999999999
2025-02-25,94.35,97.91,94.24,97.69,97.19,29331200,29331200,3.34,3.54,96.0475,"February 25, 25",0.0354
