date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,98.89,99.29,97.46,97.84,97.32,5058425,5058425,-1.05,-1.06,98.37,"January 07, 25",-0.0106
2025-01-08,97.37,97.6,96.58,97.26,96.74,4631600,4631600,-0.11,-0.11297000000000001,97.2025,"January 08, 25",-0.0011297
2025-01-10,96.74,96.93,95.16,95.81,95.3,4797594,4797594,-0.93,-0.9613400000000001,96.16,"January 10, 25",-0.0096134
2025-01-13,95.17,95.9,94.92,95.85,95.34,6992500,6992500,0.68,0.7145100000000001,95.46,"January 13, 25",0.0071451
2025-01-14,95.94,96.07,94.99,95.53,95.02,4194732,4194732,-0.41000000000000003,-0.42735,95.6325,"January 14, 25",-0.0042734999999999995
2025-01-15,96.92,97.48,96.71,97.1,96.58,4115715,4115715,0.18,0.18572000000000002,97.0525,"January 15, 25",0.0018571999999999998
2025-01-16,96.94,97.22,96.52,96.55,96.03,2943855,2943855,-0.39,-0.40231000000000006,96.8075,"January 16, 25",-0.0040231
2025-01-17,97.8,97.86,96.89,97.39,96.87,3109150,3109150,-0.41000000000000003,-0.41922000000000004,97.485,"January 17, 25",-0.0041922
2025-01-21,98.07,98.72,97.97,98.27,97.74,4817400,4817400,0.2,0.20394,98.2575,"January 21, 25",0.0020394
2025-01-22,99.5,99.81,99.1,99.25,98.72,5382656,5382656,-0.25,-0.25126000000000004,99.415,"January 22, 25",-0.0025126
2025-01-23,98.63,99.51,98.45,99.51,98.98,3721300,3721300,0.88,0.8922200000000001,99.025,"January 23, 25",0.0089222
2025-01-24,99.69,100.45,99.61,100.41,99.87,3386856,3386856,0.72,0.7222400000000001,100.04,"January 24, 25",0.0072223999999999995
2025-01-27,98.98,101.24,98.79,100.93,100.39,9407500,9407500,1.9500000000000002,1.97,99.985,"January 27, 25",0.019700000000000002
2025-01-28,101.01,101.79,100.63,101.42,100.88,5445400,5445400,0.41000000000000003,0.40590000000000004,101.2125,"January 28, 25",0.004059
2025-01-29,102.05,102.27,101.59,101.87,101.32,4797466,4797466,-0.18,-0.17638,101.945,"January 29, 25",-0.0017637999999999998
2025-01-30,102.39,103.13,101.26,101.97,101.42,5113075,5113075,-0.42,-0.4102,102.1875,"January 30, 25",-0.004102
2025-01-31,102.72,103.51,102.13,102.38,101.83,9102106,9102106,-0.34,-0.331,102.685,"January 31, 25",-0.0033100000000000004
2025-02-03,101.12,103.07,101.11,102.6,102.05,7196700,7196700,1.48,1.46,101.975,"February 03, 25",0.0146
2025-02-04,103.07,103.68,102.77,103.52,102.96,5543642,5543642,0.45,0.43660000000000004,103.26,"February 04, 25",0.004366
2025-02-05,102.27,102.54,101.56,102.52,101.97,6058907,6058907,0.25,0.24445000000000003,102.2225,"February 05, 25",0.0024445
2025-02-06,102.61,103.01,102.26,102.96,102.41,2892008,2892008,0.35000000000000003,0.3411,102.71,"February 06, 25",0.003411
2025-02-07,103.5,103.84,102.6,102.74,102.19,3142854,3142854,-0.76,-0.7343000000000001,103.17,"February 07, 25",-0.007343
2025-02-10,103.62,103.63,102.8,103.2,102.65,3042190,3042190,-0.42,-0.40533,103.3125,"February 10, 25",-0.0040533
2025-02-11,102.66,103.5,102.59,103.37,102.82,2564607,2564607,0.71,0.6916,103.03,"February 11, 25",0.006915999999999999
2025-02-12,102.64,103.73,102.46,103.48,102.93,5391900,5391900,0.84,0.8183900000000001,103.0775,"February 12, 25",0.0081839
2025-02-13,103.47,104.73,103.34,104.67,104.11,2833786,2833786,1.2,1.16,104.0525,"February 13, 25",0.011600000000000001
2025-02-14,104.68,105.58,104.59,105.31,104.75,3425228,3425228,0.63,0.6018300000000001,105.04,"February 14, 25",0.0060183
2025-02-18,105.26,105.33,104.11,104.82,104.26,3447908,3447908,-0.44,-0.41801000000000005,104.88,"February 18, 25",-0.0041801
2025-02-19,104.57,105.03,104.17,104.94,104.38,3469020,3469020,0.37,0.35383000000000003,104.6775,"February 19, 25",0.0035383
2025-02-20,104.69,104.71,103.77,104.45,103.89,2984998,2984998,-0.24,-0.22925,104.405,"February 20, 25",-0.0022925
2025-02-21,104.74,104.83,102.93,103.02,102.47,3639710,3639710,-1.72,-1.6400000000000001,103.88,"February 21, 25",-0.0164
2025-02-24,103.66,103.96,102.72,103.22,102.67,5415614,5415614,-0.44,-0.42446000000000006,103.39,"February 24, 25",-0.004244599999999999
2025-02-25,103.24,103.32,101.14,101.69,101.14,6021620,6021620,-1.55,-1.5,102.3475,"February 25, 25",-0.015
2025-02-26,101.56,102.61,101.27,101.51,100.97,5079500,5079500,-0.05,-0.04923198,101.7375,"February 26, 25",-0.0004923198
2025-02-27,102.18,102.6,100.48,100.53,99.99,3727307,3727307,-1.65,-1.6099999999999999,101.4475,"February 27, 25",-0.0161
2025-02-28,100.85,102.13,100.1,102.0,101.45,5690800,5690800,1.15,1.1400000000000001,101.27,"February 28, 25",0.0114
2025-03-03,102.34,103.04,100.51,100.98,100.44,6074864,6074864,-1.3599999999999999,-1.33,101.7175,"March 03, 25",-0.013300000000000001
2025-03-04,100.68,101.31,99.22,100.18,99.64,7329557,7329557,-0.5,-0.49662000000000006,100.3475,"March 04, 25",-0.0049662
2025-03-05,100.17,101.76,99.46,101.47,100.93,4899793,4899793,1.3,1.3,100.715,"March 05, 25",0.013000000000000001
2025-03-06,100.58,101.45,99.2,99.65,99.12,4829797,4829797,-0.93,-0.9246400000000001,100.22,"March 06, 25",-0.0092464
2025-03-07,99.18,100.65,98.07,100.29,99.75,5501711,5501711,1.11,1.12,99.5475,"March 07, 25",0.0112
2025-03-10,98.78,99.23,96.99,97.79,97.27,6896454,6896454,-0.99,-1.0,98.1975,"March 10, 25",-0.01
2025-03-11,96.78,97.79,95.54,96.35,95.83,6699455,6699455,-0.43,-0.44431000000000004,96.615,"March 11, 25",-0.0044431
2025-03-12,97.33,97.65,95.55,96.83,96.31,4698807,4698807,-0.5,-0.5137200000000001,96.84,"March 12, 25",-0.0051372
