date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,87.71,88.61,87.18,87.94,86.55,12517900,12517900,0.23,0.26223,87.86,"January 07, 25",0.0026222999999999997
2025-01-08,87.4,88.07,87.09,88.03,86.64,14241933,14241933,0.63,0.72082,87.6475,"January 08, 25",0.0072082
2025-01-10,89.17,90.2,87.92,88.39,87.0,17037900,17037900,-0.78,-0.8747300000000001,88.92,"January 10, 25",-0.0087473
2025-01-13,88.79,90.78,88.79,90.25,88.83,24448100,24448100,1.46,1.6400000000000001,89.6525,"January 13, 25",0.0164
2025-01-14,90.09,91.3,89.96,91.22,89.78,15586503,15586503,1.13,1.25,90.6425,"January 14, 25",0.0125
2025-01-15,91.78,92.81,91.4,92.57,91.11,17328946,17328946,0.79,0.86075,92.14,"January 15, 25",0.008607499999999999
2025-01-16,92.26,93.33,92.15,93.24,91.77,12615301,12615301,0.98,1.06,92.745,"January 16, 25",0.0106
2025-01-17,93.24,94.29,92.91,93.96,92.48,11949825,11949825,0.72,0.7722,93.6,"January 17, 25",0.007722
2025-01-21,93.72,94.0,92.99,93.48,92.01,24651028,24651028,-0.24,-0.25608000000000003,93.5475,"January 21, 25",-0.0025608
2025-01-22,93.19,93.3,91.72,91.78,90.33,17940129,17940129,-1.4100000000000001,-1.51,92.4975,"January 22, 25",-0.0151
2025-01-23,92.48,92.82,91.55,92.2,90.75,14679600,14679600,-0.28,-0.30277000000000004,92.2625,"January 23, 25",-0.0030277
2025-01-24,92.33,92.71,91.2,91.31,89.87,14578400,14578400,-1.02,-1.1,91.8875,"January 24, 25",-0.011
2025-01-27,91.0,91.16,89.73,90.36,88.94,15996700,15996700,-0.64,-0.7033,90.5625,"January 27, 25",-0.007032999999999999
2025-01-28,90.63,90.95,89.05,89.5,88.09,18700900,18700900,-1.13,-1.25,90.0325,"January 28, 25",-0.0125
2025-01-29,89.28,90.16,89.15,89.7,88.29,10340900,10340900,0.42,0.47043,89.5725,"January 29, 25",0.0047043
2025-01-30,90.25,90.63,89.6,90.16,88.74,19546300,19546300,-0.09,-0.09972299,90.16,"January 30, 25",-0.0009972299
2025-01-31,89.91,90.11,87.43,87.64,86.26,22270018,22270018,-2.27,-2.52,88.7725,"January 31, 25",-0.0252
2025-02-03,87.63,88.55,86.83,88.19,86.8,19908227,19908227,0.56,0.63905,87.8,"February 03, 25",0.0063904999999999995
