date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,48.65,48.76,48.12,48.33,47.99,57682700,57682700,-0.32,-0.65776,48.465,"January 07, 25",-0.006577599999999999
2025-01-08,48.34,48.5,48.02,48.49,48.15,36422023,36422023,0.15,0.3103,48.3375,"January 08, 25",0.003103
2025-01-10,48.1,48.14,47.15,47.32,46.99,53128705,53128705,-0.78,-1.62,47.6775,"January 10, 25",-0.0162
2025-01-13,47.08,47.68,47.04,47.66,47.33,36002819,36002819,0.58,1.23,47.365,"January 13, 25",0.0123
2025-01-14,47.85,48.29,47.74,48.25,47.91,39353300,39353300,0.4,0.8359500000000001,48.0325,"January 14, 25",0.008359499999999999
2025-01-15,49.28,49.61,49.01,49.48,49.13,61176908,61176908,0.2,0.40584000000000003,49.345,"January 15, 25",0.0040584
2025-01-16,49.46,49.85,49.46,49.81,49.46,33830433,33830433,0.35000000000000003,0.70764,49.645,"January 16, 25",0.0070764
2025-01-17,49.91,50.32,49.73,50.23,49.88,43693111,43693111,0.32,0.64115,50.0475,"January 17, 25",0.0064115
2025-01-21,50.4,50.71,50.39,50.65,50.29,33267500,33267500,0.25,0.49603,50.5375,"January 21, 25",0.0049603
2025-01-22,50.65,50.66,50.21,50.41,50.06,37226405,37226405,-0.24,-0.47384000000000004,50.4825,"January 22, 25",-0.004738399999999999
2025-01-23,50.49,50.79,50.48,50.7,50.34,32048845,32048845,0.21,0.41592,50.615,"January 23, 25",0.0041592
2025-01-24,50.53,50.9,50.48,50.85,50.49,39088700,39088700,0.32,0.63329,50.69,"January 24, 25",0.0063329
2025-01-27,50.76,51.44,50.62,51.41,51.05,61707423,61707423,0.65,1.28,51.0575,"January 27, 25",0.0128
2025-01-28,51.35,51.55,51.11,51.32,50.96,39885300,39885300,-0.03,-0.05842259,51.3325,"January 28, 25",-0.0005842259
2025-01-29,51.18,51.74,51.17,51.28,50.92,43612200,43612200,0.1,0.19539,51.3425,"January 29, 25",0.0019538999999999997
2025-01-30,51.75,52.04,51.43,51.77,51.41,64250500,64250500,0.02,0.03864734,51.7475,"January 30, 25",0.0003864734
2025-01-31,51.83,51.97,51.44,51.47,51.11,40429500,40429500,-0.36,-0.6945800000000001,51.6775,"January 31, 25",-0.006945799999999999
2025-02-03,50.75,51.4,50.41,51.26,50.9,77416229,77416229,0.51,1.0,50.955,"February 03, 25",0.01
2025-02-04,51.32,51.39,51.0,51.14,50.78,41742731,41742731,-0.18,-0.35074000000000005,51.2125,"February 04, 25",-0.0035074
2025-02-05,51.36,51.69,51.14,51.68,51.32,34758600,34758600,0.32,0.6230500000000001,51.4675,"February 05, 25",0.0062305
2025-02-06,51.98,52.13,51.76,52.11,51.74,34355928,34355928,0.13,0.2501,51.995,"February 06, 25",0.0025009999999999998
2025-02-07,52.17,52.26,51.78,51.82,51.46,40601439,40601439,-0.35000000000000003,-0.67088,52.0075,"February 07, 25",-0.0067088
2025-02-10,51.91,51.98,51.19,51.41,51.05,37921500,37921500,-0.5,-0.9632100000000001,51.6225,"February 10, 25",-0.0096321
2025-02-11,51.33,51.64,51.02,51.54,51.18,45162900,45162900,0.21,0.40912000000000004,51.3825,"February 11, 25",0.0040912
2025-02-12,51.28,51.38,50.92,51.36,51.0,45473140,45473140,0.08,0.15601,51.235,"February 12, 25",0.0015601
2025-02-13,51.5,51.77,51.28,51.7,51.34,36372211,36372211,0.2,0.38835000000000003,51.5625,"February 13, 25",0.0038835
2025-02-14,51.77,52.02,51.75,51.8,51.44,29574300,29574300,0.03,0.05794862,51.835,"February 14, 25",0.0005794862
2025-02-18,51.88,52.2,51.75,52.17,51.8,33496807,33496807,0.29,0.55898,52.0,"February 18, 25",0.0055898
2025-02-19,52.04,52.25,51.9,52.19,51.82,31748520,31748520,0.15,0.28824,52.095,"February 19, 25",0.0028824
2025-02-20,52.11,52.15,51.04,51.39,51.03,47078900,47078900,-0.72,-1.38,51.6725,"February 20, 25",-0.013800000000000002
2025-02-21,51.41,51.5,50.65,50.75,50.39,51789947,51789947,-0.66,-1.28,51.0775,"February 21, 25",-0.0128
2025-02-24,50.99,51.41,50.68,50.97,50.61,56673900,56673900,-0.02,-0.03922338,51.0125,"February 24, 25",-0.0003922338
2025-02-25,51.27,51.41,50.31,50.96,50.6,50132800,50132800,-0.31,-0.6046400000000001,50.9875,"February 25, 25",-0.0060463999999999995
2025-02-26,50.97,51.32,50.75,50.85,50.49,31250500,31250500,-0.12,-0.23543000000000003,50.9725,"February 26, 25",-0.0023542999999999997
