date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,132.73,133.16,131.85,132.3,131.5,6841232,6841232,-0.43,-0.32397000000000004,132.51,"January 07, 25",-0.0032397
2025-01-08,132.05,132.95,131.25,132.82,132.01,8277709,8277709,0.77,0.58311,132.2675,"January 08, 25",0.0058311
2025-01-10,132.13,132.25,131.05,131.33,130.53,9997303,9997303,-0.8,-0.60546,131.69,"January 10, 25",-0.006054599999999999
2025-01-13,130.59,132.95,130.45,132.87,132.06,8365618,8365618,2.2800000000000002,1.75,131.715,"January 13, 25",0.0175
2025-01-14,133.81,134.64,133.21,134.44,133.62,6746834,6746834,0.63,0.47082,134.025,"January 14, 25",0.0047082
2025-01-15,136.43,136.64,135.04,135.29,134.47,9184200,9184200,-1.1400000000000001,-0.83559,135.85,"January 15, 25",-0.0083559
2025-01-16,135.66,137.13,135.51,136.93,136.1,6556511,6556511,1.27,0.9361600000000001,136.3075,"January 16, 25",0.0093616
2025-01-17,137.81,138.26,137.21,137.75,136.91,6869566,6869566,-0.06,-0.0435382,137.7575,"January 17, 25",-0.00043538200000000005
2025-01-21,138.96,140.58,138.96,140.58,139.72,12177718,12177718,1.62,1.17,139.77,"January 21, 25",0.0117
2025-01-22,141.02,141.17,140.19,140.25,139.4,7206044,7206044,-0.77,-0.5460200000000001,140.6575,"January 22, 25",-0.0054602
2025-01-23,141.14,141.9,140.56,141.67,140.81,7353419,7353419,0.53,0.37551,141.3175,"January 23, 25",0.0037551
2025-01-24,141.6,141.65,140.79,141.07,140.21,6457700,6457700,-0.53,-0.37429,141.2775,"January 24, 25",-0.0037429
2025-01-27,138.93,139.51,138.5,139.18,138.33,10909300,10909300,0.25,0.17995000000000003,139.03,"January 27, 25",0.0017994999999999999
2025-01-28,139.51,139.63,137.85,138.26,137.42,8900229,8900229,-1.25,-0.8959900000000001,138.8125,"January 28, 25",-0.0089599
2025-01-29,138.35,139.23,137.71,137.79,136.95,9101061,9101061,-0.56,-0.40477,138.27,"January 29, 25",-0.0040476999999999996
2025-01-30,137.59,139.59,137.59,139.33,138.48,8169865,8169865,1.74,1.26,138.525,"January 30, 25",0.0126
2025-01-31,139.29,139.74,138.19,138.35,137.51,10145800,10145800,-0.9400000000000001,-0.6748500000000001,138.8925,"January 31, 25",-0.006748499999999999
2025-02-03,135.93,137.97,135.33,136.98,136.15,13906841,13906841,1.05,0.77246,136.5525,"February 03, 25",0.0077246
2025-02-04,137.11,137.75,136.72,137.02,136.19,7577294,7577294,-0.09,-0.06564073000000001,137.15,"February 04, 25",-0.0006564073
2025-02-05,137.5,137.74,136.16,137.12,136.29,8179200,8179200,-0.38,-0.27636000000000005,137.13,"February 05, 25",-0.0027635999999999997
2025-02-06,137.39,137.88,136.79,137.74,136.9,7368336,7368336,0.35000000000000003,0.25475000000000003,137.45,"February 06, 25",0.0025475
2025-02-07,138.37,138.54,137.05,137.33,136.49,10408900,10408900,-1.04,-0.7516100000000001,137.8225,"February 07, 25",-0.0075160999999999995
2025-02-10,138.22,138.61,137.63,138.56,137.72,5446400,5446400,0.34,0.24598000000000003,138.255,"February 10, 25",0.0024598
2025-02-11,138.1,138.68,137.7,138.61,137.77,5787806,5787806,0.51,0.3693,138.2725,"February 11, 25",0.0036929999999999997
2025-02-12,136.63,138.24,136.41,137.75,136.91,7694533,7694533,1.12,0.8197300000000001,137.2575,"February 12, 25",0.0081973
2025-02-13,137.74,138.25,137.31,137.89,137.05,8539145,8539145,0.15,0.10890000000000001,137.7975,"February 13, 25",0.001089
2025-02-14,138.08,138.25,137.39,137.55,136.71,5800023,5800023,-0.53,-0.38384,137.8175,"February 14, 25",-0.0038383999999999996
2025-02-18,138.02,138.89,137.88,138.63,137.79,7227047,7227047,0.61,0.44196,138.355,"February 18, 25",0.0044196
2025-02-19,138.29,139.08,138.07,138.77,137.93,9454236,9454236,0.48,0.3471,138.5525,"February 19, 25",0.0034709999999999997
2025-02-20,138.61,138.63,136.87,137.86,137.02,9306742,9306742,-0.75,-0.5410900000000001,137.9925,"February 20, 25",-0.0054109
2025-02-21,138.0,138.0,134.31,134.84,134.02,14561321,14561321,-3.16,-2.29,136.2875,"February 21, 25",-0.0229
2025-02-24,135.36,135.6,134.05,134.23,133.41,10876120,10876120,-1.13,-0.83481,134.81,"February 24, 25",-0.008348099999999999
2025-02-25,134.24,135.4,133.49,134.92,134.1,9898767,9898767,0.68,0.50656,134.5125,"February 25, 25",0.0050656
2025-02-26,135.61,136.36,134.82,135.0,134.18,8330405,8330405,-0.61,-0.44982000000000005,135.4475,"February 26, 25",-0.0044982
2025-02-27,135.31,136.43,134.35,134.53,133.71,9624632,9624632,-0.78,-0.57645,135.155,"February 27, 25",-0.0057645
2025-02-28,134.9,136.46,134.24,136.33,135.5,9888000,9888000,1.43,1.06,135.4825,"February 28, 25",0.0106
2025-03-03,137.12,137.64,133.67,134.39,133.57,12683000,12683000,-2.73,-1.99,135.705,"March 03, 25",-0.0199
2025-03-04,132.91,134.0,130.79,131.77,130.97,15191387,15191387,-1.1400000000000001,-0.85772,132.3675,"March 04, 25",-0.0085772
2025-03-05,132.24,134.4,132.1,133.85,133.04,12117600,12117600,1.6099999999999999,1.22,133.1475,"March 05, 25",0.0122
2025-03-06,132.47,133.6,131.74,132.7,131.89,12029100,12029100,0.23,0.17362000000000002,132.6275,"March 06, 25",0.0017362
2025-03-07,131.95,134.6,131.53,134.25,133.43,17504512,17504512,2.3,1.74,133.0825,"March 07, 25",0.017400000000000002
2025-03-10,132.54,134.08,131.1,132.15,131.35,15124156,15124156,-0.39,-0.29425,132.4675,"March 10, 25",-0.0029425
2025-03-11,131.85,132.02,129.42,130.12,129.33,13177113,13177113,-1.73,-1.31,130.8525,"March 11, 25",-0.0131
2025-03-12,131.31,131.49,128.99,130.11,129.32,12728289,12728289,-1.2,-0.9138700000000001,130.475,"March 12, 25",-0.0091387
2025-03-13,129.8,130.4,128.26,128.78,128.0,10596970,10596970,-1.02,-0.7858200000000001,129.31,"March 13, 25",-0.0078582
2025-03-14,130.01,131.38,129.47,131.13,130.33,8920031,8920031,1.12,0.8614700000000001,130.4975,"March 14, 25",0.0086147
2025-03-17,130.94,133.55,130.8,132.94,132.13,6918327,6918327,2.0,1.53,132.0575,"March 17, 25",0.015300000000000001
2025-03-18,132.38,132.58,131.13,131.88,131.08,8051806,8051806,-0.5,-0.37770000000000004,131.9925,"March 18, 25",-0.003777
2025-03-19,132.31,134.39,132.15,133.63,132.82,8274900,8274900,1.32,0.9976600000000001,133.12,"March 19, 25",0.0099766
2025-03-20,132.57,133.94,132.32,132.96,132.15,8078300,8078300,0.39,0.29418,132.9475,"March 20, 25",0.0029418
2025-03-21,131.81,132.41,130.98,132.25,131.45,10036541,10036541,0.44,0.33381000000000005,131.8625,"March 21, 25",0.0033380999999999997
2025-03-24,133.43,134.52,133.1,134.29,133.88,8446934,8446934,0.86,0.64453,133.835,"March 24, 25",0.006445299999999999
2025-03-25,134.56,134.94,133.84,134.49,134.08,5337191,5337191,-0.07,-0.052021399999999995,134.4575,"March 25, 25",-0.0005202140000000001
2025-03-26,134.7,135.38,133.2,133.6,133.19,6899514,6899514,-1.1,-0.8166300000000001,134.22,"March 26, 25",-0.0081663
2025-03-27,133.56,134.01,132.27,132.89,132.49,8414000,8414000,-0.67,-0.50165,133.1825,"March 27, 25",-0.0050165
2025-03-28,132.45,132.8,130.08,130.15,129.76,10196911,10196911,-2.3,-1.74,131.37,"March 28, 25",-0.017400000000000002
2025-03-31,129.14,131.85,128.42,131.07,130.67,9650200,9650200,1.9300000000000002,1.49,130.12,"March 31, 25",0.0149
2025-04-01,130.77,132.09,129.65,131.81,131.41,8722274,8722274,1.04,0.79529,131.08,"April 01, 25",0.007952899999999999
2025-04-02,130.31,133.51,130.26,133.05,132.65,6398000,6398000,2.74,2.1,131.7825,"April 02, 25",0.021
2025-04-03,128.59,129.71,125.76,125.85,125.47,15962474,15962474,-2.74,-2.13,127.4775,"April 03, 25",-0.0213
2025-04-04,122.25,122.68,117.79,117.94,117.58,28516400,28516400,-4.31,-3.5300000000000002,120.165,"April 04, 25",-0.035300000000000005
2025-04-07,114.65,121.8,112.75,117.39,117.03,42518300,42518300,2.74,2.39,116.6475,"April 07, 25",0.0239
2025-04-08,121.04,121.67,114.64,116.42,116.07,21272378,21272378,-4.62,-3.8200000000000003,118.4425,"April 08, 25",-0.038200000000000005
2025-04-09,115.23,127.55,115.23,126.76,126.38,36610700,36610700,11.53,10.01,121.1925,"April 09, 25",0.10010000000000001
2025-04-10,124.46,124.98,119.91,123.49,123.12,26234000,26234000,-0.97,-0.7793700000000001,123.21,"April 10, 25",-0.0077937
2025-04-11,123.21,126.32,121.99,125.67,125.29,13750376,13750376,2.46,2.0,124.2975,"April 11, 25",0.02
2025-04-14,127.19,127.82,125.92,126.98,126.59,8060912,8060912,-0.21,-0.16511,126.9775,"April 14, 25",-0.0016511
2025-04-15,126.77,127.81,126.16,126.35,125.97,6230200,6230200,-0.42,-0.33131000000000005,126.7725,"April 15, 25",-0.0033131
