date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,240.0,240.0,233.14,233.96,233.16,5003649,5003649,-6.04,-2.52,236.775,"January 07, 25",-0.0252
2025-01-08,234.5,234.54,231.63,233.88,233.08,5011900,5011900,-0.62,-0.26439,233.6375,"January 08, 25",-0.0026439
2025-01-10,231.42,231.46,227.43,228.78,228.0,5832900,5832900,-2.64,-1.1400000000000001,229.7725,"January 10, 25",-0.0114
2025-01-13,225.1,227.32,224.45,227.16,226.39,5328000,5328000,2.06,0.9151500000000001,226.0075,"January 13, 25",0.0091515
2025-01-14,228.92,229.55,225.95,227.76,226.99,3610218,3610218,-1.16,-0.50673,228.045,"January 14, 25",-0.005067299999999999
2025-01-15,230.87,232.97,230.11,232.29,231.5,5232700,5232700,1.42,0.61506,231.56,"January 15, 25",0.0061506
2025-01-16,234.18,234.33,230.45,230.5,229.72,2684261,2684261,-3.68,-1.57,232.365,"January 16, 25",-0.015700000000000002
2025-01-17,234.66,234.94,233.08,234.11,233.31,3371692,3371692,-0.55,-0.23438000000000003,234.1975,"January 17, 25",-0.0023438
2025-01-21,234.89,236.64,233.26,236.06,235.26,3372100,3372100,1.17,0.49811000000000005,235.2125,"January 21, 25",0.0049811
2025-01-22,239.25,241.95,238.91,241.39,240.57,5121900,5121900,2.14,0.89446,240.375,"January 22, 25",0.008944599999999999
2025-01-23,239.53,241.87,239.3,241.82,241.0,3802235,3802235,2.29,0.9560400000000001,240.63,"January 23, 25",0.0095604
2025-01-24,242.58,242.58,238.53,239.3,238.49,3303802,3303802,-3.2800000000000002,-1.35,240.7475,"January 24, 25",-0.0135
2025-01-27,228.58,230.98,225.47,227.57,226.8,10352800,10352800,-1.01,-0.44186000000000003,228.15,"January 27, 25",-0.0044186
2025-01-28,229.11,234.16,226.69,233.64,232.85,5630339,5630339,4.53,1.98,230.9,"January 28, 25",0.0198
2025-01-29,233.18,233.29,229.49,231.74,230.95,4525003,4525003,-1.44,-0.61755,231.925,"January 29, 25",-0.0061754999999999996
2025-01-30,231.33,232.97,229.74,232.17,231.38,4420135,4420135,0.84,0.36312000000000005,231.5525,"January 30, 25",0.0036312
2025-01-31,234.33,235.73,230.19,230.81,230.02,5372314,5372314,-3.52,-1.5,232.765,"January 31, 25",-0.015
2025-02-03,225.7,229.09,224.5,227.7,226.93,6876435,6876435,2.0,0.8861300000000001,226.7475,"February 03, 25",0.008861299999999999
2025-02-04,228.48,231.34,228.4,230.98,230.19,4185642,4185642,2.5,1.09,229.8,"February 04, 25",0.0109
2025-02-05,231.19,234.24,230.46,234.19,233.39,2699042,2699042,3.0,1.3,232.52,"February 05, 25",0.013000000000000001
2025-02-06,234.19,235.31,233.15,234.83,234.03,3404037,3404037,0.64,0.27328,234.37,"February 06, 25",0.0027328
2025-02-07,235.78,236.91,232.04,232.82,232.03,4276633,4276633,-2.96,-1.26,234.3875,"February 07, 25",-0.0126
2025-02-10,234.66,236.81,234.59,236.22,235.42,3027100,3027100,1.56,0.6647900000000001,235.57,"February 10, 25",0.0066479
