date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,77.71,78.16,77.13,77.24,76.31,11113102,11113102,-0.47000000000000003,-0.6048100000000001,77.56,"January 07, 25",-0.0060481
2025-01-08,77.16,77.46,76.67,77.38,76.45,9277400,9277400,0.22,0.28512000000000004,77.1675,"January 08, 25",0.0028512
2025-01-10,76.89,77.33,76.24,76.34,75.42,13943592,13943592,-0.55,-0.7153100000000001,76.7,"January 10, 25",-0.0071531
2025-01-13,76.4,76.66,76.06,76.47,75.55,9490917,9490917,0.07,0.09162304,76.3975,"January 13, 25",0.0009162304
2025-01-14,76.56,76.65,76.13,76.49,75.57,7763782,7763782,-0.07,-0.09143156,76.4575,"January 14, 25",-0.0009143156000000001
2025-01-15,76.91,77.15,76.11,76.23,75.31,11426997,11426997,-0.68,-0.8841500000000001,76.6,"January 15, 25",-0.0088415
2025-01-16,76.08,76.88,75.81,76.8,75.87,11223400,11223400,0.72,0.94637,76.3925,"January 16, 25",0.0094637
2025-01-17,76.94,77.4,76.85,77.24,76.31,10525009,10525009,0.30000000000000004,0.38991000000000003,77.1075,"January 17, 25",0.0038991
2025-01-21,77.39,77.9,77.31,77.6,76.66,8849500,8849500,0.21,0.27135000000000004,77.55,"January 21, 25",0.0027134999999999998
2025-01-22,77.95,77.95,77.15,77.22,76.29,8357873,8357873,-0.73,-0.9365,77.5675,"January 22, 25",-0.009365
2025-01-23,77.11,77.53,76.8,77.5,76.57,7562500,7562500,0.39,0.50577,77.235,"January 23, 25",0.0050577
2025-01-24,77.47,77.93,77.43,77.9,76.96,6685652,6685652,0.43,0.55505,77.6825,"January 24, 25",0.0055505
2025-01-27,78.69,80.16,78.68,80.01,79.05,17519904,17519904,1.32,1.6800000000000002,79.385,"January 27, 25",0.016800000000000002
2025-01-28,79.76,80.1,78.6,78.76,77.81,11665182,11665182,-1.0,-1.25,79.305,"January 28, 25",-0.0125
2025-01-29,78.88,79.3,78.81,78.95,78.0,10195399,10195399,0.07,0.08874239,78.985,"January 29, 25",0.0008874239
2025-01-30,79.34,79.9,79.18,79.73,78.77,8192000,8192000,0.39,0.49156000000000005,79.5375,"January 30, 25",0.0049156
2025-01-31,79.03,79.57,78.93,78.98,78.03,10269003,10269003,-0.05,-0.06326711,79.1275,"January 31, 25",-0.0006326711
2025-02-03,78.41,79.45,78.23,79.29,78.33,13340844,13340844,0.88,1.12,78.845,"February 03, 25",0.0112
2025-02-04,79.02,79.1,78.3,78.62,77.67,9307813,9307813,-0.4,-0.5062,78.76,"February 04, 25",-0.005062
2025-02-05,78.61,79.13,78.19,79.11,78.16,8847897,8847897,0.5,0.63605,78.76,"February 05, 25",0.0063605
2025-02-06,80.15,80.17,79.22,79.47,78.51,9846348,9846348,-0.68,-0.8484100000000001,79.7525,"February 06, 25",-0.0084841
2025-02-07,79.49,79.68,79.12,79.35,78.39,8104061,8104061,-0.14,-0.17612000000000003,79.41,"February 07, 25",-0.0017611999999999999
2025-02-10,79.56,79.85,79.06,79.84,78.88,7949646,7949646,0.28,0.35194000000000003,79.5775,"February 10, 25",0.0035194
2025-02-11,79.96,80.63,79.67,80.61,79.64,9157217,9157217,0.65,0.81291,80.2175,"February 11, 25",0.0081291
2025-02-12,79.92,80.65,79.87,80.55,79.58,10564124,10564124,0.63,0.78829,80.2475,"February 12, 25",0.0078829
2025-02-13,80.76,81.49,80.54,81.42,80.44,10132300,10132300,0.66,0.8172400000000001,81.0525,"February 13, 25",0.0081724
2025-02-14,81.38,81.43,80.59,80.61,79.64,10470433,10470433,-0.765,-0.9461800000000001,81.0025,"February 14, 25",-0.0094618
2025-02-18,80.35,80.92,79.9,80.9,79.92,10432772,10432772,0.55,0.6845100000000001,80.5175,"February 18, 25",0.0068451
2025-02-19,81.09,81.58,80.89,81.55,80.57,6450823,6450823,0.46,0.56727,81.2775,"February 19, 25",0.0056727
2025-02-20,80.56,81.23,80.43,81.23,80.25,14264248,14264248,0.67,0.8316800000000001,80.8625,"February 20, 25",0.0083168
2025-02-21,81.23,82.25,80.98,82.18,81.19,18203300,18203300,0.9500000000000001,1.17,81.66,"February 21, 25",0.0117
2025-02-24,81.85,82.81,81.81,82.43,81.44,14114232,14114232,0.58,0.7086100000000001,82.225,"February 24, 25",0.0070861
2025-02-25,82.69,83.88,82.69,83.6,82.59,18198000,18198000,0.91,1.1,83.215,"February 25, 25",0.011
2025-02-26,83.28,83.36,81.85,82.0,81.01,19969521,19969521,-1.28,-1.54,82.6225,"February 26, 25",-0.0154
2025-02-27,81.64,82.43,81.62,81.99,81.0,16614021,16614021,0.35000000000000003,0.42871000000000004,81.92,"February 27, 25",0.004287099999999999
2025-02-28,82.69,83.13,82.14,83.08,82.08,15164207,15164207,0.39,0.47164000000000006,82.76,"February 28, 25",0.0047164
2025-03-03,82.68,83.82,82.68,83.52,82.51,18918900,18918900,0.84,1.02,83.175,"March 03, 25",0.0102
2025-03-04,83.36,84.14,82.05,82.1,81.11,21845907,21845907,-1.26,-1.51,82.9125,"March 04, 25",-0.0151
2025-03-05,81.94,82.75,81.81,82.44,81.45,13772977,13772977,0.5,0.6102000000000001,82.235,"March 05, 25",0.006102
2025-03-06,82.13,82.8,81.94,82.59,81.59,13729686,13729686,0.46,0.5600900000000001,82.365,"March 06, 25",0.0056009
2025-03-07,82.06,83.43,82.04,82.86,81.86,19631100,19631100,0.8,0.9749000000000001,82.5975,"March 07, 25",0.009748999999999999
2025-03-10,82.99,84.35,82.36,82.68,81.68,27412700,27412700,-0.31,-0.37354000000000004,83.095,"March 10, 25",-0.0037354
2025-03-11,82.51,82.58,81.41,81.47,80.49,27913700,27913700,-1.04,-1.26,81.9925,"March 11, 25",-0.0126
2025-03-12,80.68,80.98,79.62,79.7,78.74,22000866,22000866,-0.975,-1.21,80.245,"March 12, 25",-0.012100000000000001
2025-03-13,79.8,80.12,79.18,79.33,78.37,18077739,18077739,-0.47000000000000003,-0.58897,79.6075,"March 13, 25",-0.0058896999999999994
2025-03-14,79.15,79.58,78.88,79.51,78.55,10251385,10251385,0.36,0.45483,79.28,"March 14, 25",0.0045483
2025-03-17,79.65,80.91,79.58,80.67,79.7,12470284,12470284,1.02,1.28,80.2025,"March 17, 25",0.0128
2025-03-18,80.61,80.71,79.7,79.75,78.79,9461101,9461101,-0.86,-1.07,80.1925,"March 18, 25",-0.010700000000000001
2025-03-19,79.57,79.83,79.14,79.75,78.79,12042918,12042918,0.18,0.22622000000000003,79.5725,"March 19, 25",0.0022622
