date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,40.42,40.64,39.89,39.98,39.37,8867779,8867779,-0.44,-1.09,40.2325,"January 07, 25",-0.0109
2025-01-08,40.01,40.17,39.62,40.15,39.54,6312800,6312800,0.14,0.34991000000000005,39.9875,"January 08, 25",0.0034990999999999998
2025-01-10,39.52,39.62,39.15,39.18,38.58,8343224,8343224,-0.34,-0.8603200000000001,39.3675,"January 10, 25",-0.0086032
2025-01-13,39.13,39.69,39.05,39.68,39.07,5769421,5769421,0.55,1.4100000000000001,39.3875,"January 13, 25",0.014100000000000001
2025-01-14,39.81,40.11,39.71,40.02,39.41,5022132,5022132,0.21,0.52751,39.9125,"January 14, 25",0.0052751
2025-01-15,41.06,41.15,40.14,40.19,39.58,6511074,6511074,-0.87,-2.12,40.635,"January 15, 25",-0.0212
2025-01-16,40.29,41.13,40.16,41.09,40.46,5600941,5600941,0.8,1.99,40.6675,"January 16, 25",0.0199
2025-01-17,41.21,41.31,41.06,41.08,40.45,4913492,4913492,-0.13,-0.31546,41.165,"January 17, 25",-0.0031546
2025-01-21,41.26,41.87,41.24,41.83,41.19,6105700,6105700,0.5700000000000001,1.38,41.55,"January 21, 25",0.013800000000000002
2025-01-22,41.75,41.75,41.06,41.1,40.47,5837100,5837100,-0.65,-1.56,41.415,"January 22, 25",-0.015600000000000001
2025-01-23,41.19,41.44,40.8,41.43,40.8,3916238,3916238,0.24,0.58267,41.215,"January 23, 25",0.0058267
2025-01-24,41.29,41.84,41.26,41.55,40.92,4038944,4038944,0.26,0.6296900000000001,41.485,"January 24, 25",0.006296899999999999
2025-01-27,41.5,42.01,41.41,41.96,41.32,11135842,11135842,0.46,1.11,41.72,"January 27, 25",0.0111
2025-01-28,41.9,41.9,41.31,41.45,40.82,4366324,4366324,-0.45,-1.07,41.64,"January 28, 25",-0.010700000000000001
2025-01-29,41.5,41.58,40.78,40.97,40.34,3945741,3945741,-0.53,-1.28,41.2075,"January 29, 25",-0.0128
2025-01-30,41.6,41.82,41.14,41.51,40.88,4481505,4481505,-0.09,-0.21635000000000001,41.5175,"January 30, 25",-0.0021635
2025-01-31,41.38,41.83,41.29,41.42,40.79,4730339,4730339,0.04,0.09666506,41.48,"January 31, 25",0.0009666506
2025-02-03,41.08,41.51,40.68,41.35,40.72,7439614,7439614,0.27,0.65725,41.155,"February 03, 25",0.006572499999999999
2025-02-04,41.07,41.46,40.92,41.35,40.72,4559328,4559328,0.28,0.68176,41.2,"February 04, 25",0.0068176
2025-02-05,41.83,42.11,41.41,42.0,41.36,4357234,4357234,0.17,0.40641000000000005,41.8375,"February 05, 25",0.0040641
2025-02-06,42.24,42.25,41.82,42.12,41.48,3680994,3680994,-0.12,-0.28409,42.1075,"February 06, 25",-0.0028409
2025-02-07,42.23,42.27,41.78,41.97,41.33,5337374,5337374,-0.26,-0.61568,42.0625,"February 07, 25",-0.0061568
2025-02-10,42.06,42.1,41.65,42.03,41.39,3907698,3907698,-0.03,-0.07132668,41.96,"February 10, 25",-0.0007132668
2025-02-11,41.83,42.27,41.77,42.26,41.61,3276329,3276329,0.43,1.03,42.0325,"February 11, 25",0.0103
2025-02-12,41.43,42.05,41.43,41.9,41.26,6834399,6834399,0.47000000000000003,1.13,41.7025,"February 12, 25",0.011300000000000001
2025-02-13,41.81,42.34,41.67,42.23,41.59,7069100,7069100,0.42,1.0,42.0125,"February 13, 25",0.01
2025-02-14,42.35,42.49,42.05,42.06,41.42,4528108,4528108,-0.29,-0.6847700000000001,42.2375,"February 14, 25",-0.0068477
2025-02-18,41.95,42.39,41.92,42.21,41.57,5622232,5622232,0.26,0.6197900000000001,42.1175,"February 18, 25",0.0061979
2025-02-19,42.03,42.39,41.97,42.29,41.64,4405686,4405686,0.26,0.6186100000000001,42.17,"February 19, 25",0.0061861
2025-02-20,42.29,42.65,42.06,42.58,41.93,3947349,3947349,0.29,0.68574,42.395,"February 20, 25",0.0068574
2025-02-21,42.59,42.65,42.02,42.23,41.59,5072118,5072118,-0.36,-0.8452700000000001,42.3725,"February 21, 25",-0.008452699999999999
2025-02-24,42.3,42.65,42.07,42.42,41.77,4435227,4435227,0.12,0.28369,42.36,"February 24, 25",0.0028369
2025-02-25,42.56,43.08,42.55,42.87,42.22,5698200,5698200,0.31,0.72838,42.765,"February 25, 25",0.0072838
2025-02-26,42.95,43.05,42.54,42.66,42.01,5472200,5472200,-0.29,-0.6752,42.8,"February 26, 25",-0.006751999999999999
2025-02-27,42.67,43.08,42.59,42.85,42.2,4040663,4040663,0.18,0.42184000000000005,42.7975,"February 27, 25",0.0042184
2025-02-28,43.06,43.25,42.68,43.15,42.49,5771512,5771512,0.09,0.20901000000000003,43.035,"February 28, 25",0.0020901
2025-03-03,43.3,43.75,43.17,43.52,42.86,9874300,9874300,0.22,0.5080800000000001,43.435,"March 03, 25",0.0050808
2025-03-04,43.56,43.86,42.92,43.02,42.36,9765763,9765763,-0.54,-1.24,43.34,"March 04, 25",-0.012400000000000001
2025-03-05,42.55,43.54,42.54,43.42,42.76,5564280,5564280,0.87,2.04,43.0125,"March 05, 25",0.0204
