date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,76.48,76.81,75.83,76.03,74.97,11428233,11428233,-0.45,-0.5883900000000001,76.2875,"January 07, 25",-0.0058839
2025-01-08,75.9,76.09,74.76,76.01,74.95,13422947,13422947,0.11,0.14493,75.69,"January 08, 25",0.0014493
2025-01-10,76.25,76.84,75.22,75.58,74.53,15608500,15608500,-0.67,-0.8786900000000001,75.9725,"January 10, 25",-0.0087869
2025-01-13,75.5,75.58,73.91,74.7,73.66,12445821,12445821,-0.8,-1.06,74.9225,"January 13, 25",-0.0106
2025-01-14,74.99,75.91,74.8,75.68,74.63,9837592,9837592,0.6900000000000001,0.92012,75.345,"January 14, 25",0.0092012
2025-01-15,77.0,77.55,76.71,76.79,75.72,10680304,10680304,-0.21,-0.27273000000000003,77.0125,"January 15, 25",-0.0027272999999999998
2025-01-16,76.75,78.76,76.72,78.73,77.64,15207533,15207533,1.98,2.58,77.74,"January 16, 25",0.0258
2025-01-17,78.68,79.2,78.43,78.84,77.74,7334541,7334541,0.16,0.20336,78.7875,"January 17, 25",0.0020336
2025-01-21,79.73,80.44,79.53,80.05,78.94,10816700,10816700,0.32,0.40135000000000004,79.9375,"January 21, 25",0.0040135
2025-01-22,80.27,80.27,78.28,78.32,77.23,11822425,11822425,-1.9500000000000002,-2.43,79.285,"January 22, 25",-0.024300000000000002
2025-01-23,78.61,79.26,78.47,78.69,77.6,10792597,10792597,0.08,0.10177000000000001,78.7575,"January 23, 25",0.0010176999999999999
2025-01-24,78.57,79.72,78.4,79.49,78.39,8385099,8385099,0.92,1.17,79.045,"January 24, 25",0.0117
2025-01-27,77.89,78.08,75.83,77.65,76.57,21224100,21224100,-0.24,-0.30813,77.3625,"January 27, 25",-0.0030813
2025-01-28,77.61,77.61,75.9,76.58,75.52,14270475,14270475,-1.03,-1.33,76.925,"January 28, 25",-0.013300000000000001
2025-01-29,76.56,77.62,76.48,76.74,75.67,9565457,9565457,0.18,0.23511,76.85,"January 29, 25",0.0023511
2025-01-30,77.63,78.46,77.56,78.34,77.25,9356339,9356339,0.71,0.9145900000000001,77.9975,"January 30, 25",0.0091459
2025-01-31,78.41,78.48,77.7,77.88,76.8,9835400,9835400,-0.53,-0.67593,78.1175,"January 31, 25",-0.006759299999999999
2025-02-03,76.85,78.59,76.73,78.3,77.21,14059484,14059484,1.45,1.8900000000000001,77.6175,"February 03, 25",0.0189
2025-02-04,77.85,77.98,76.83,77.61,76.53,10249173,10249173,-0.24,-0.30829,77.5675,"February 04, 25",-0.0030829
2025-02-05,78.38,78.92,77.74,78.39,77.3,7996492,7996492,0.01,0.01275836,78.3575,"February 05, 25",0.0001275836
2025-02-06,78.73,78.73,77.74,78.3,77.21,6410448,6410448,-0.43,-0.54617,78.375,"February 06, 25",-0.0054617
2025-02-07,78.28,78.83,78.05,78.14,77.05,7165378,7165378,-0.14,-0.17885,78.325,"February 07, 25",-0.0017885
2025-02-10,78.36,79.02,77.93,78.99,77.89,5332216,5332216,0.63,0.80398,78.575,"February 10, 25",0.0080398
2025-02-11,78.68,79.43,78.02,79.39,78.29,5418113,5418113,0.71,0.90239,78.88,"February 11, 25",0.0090239
2025-02-12,78.37,79.44,78.02,79.25,78.15,7444465,7444465,0.88,1.12,78.77,"February 12, 25",0.0112
2025-02-13,79.4,79.58,78.94,79.43,78.33,8510400,8510400,0.03,0.03778338,79.3375,"February 13, 25",0.0003778338
2025-02-14,79.39,80.03,79.05,79.1,78.0,6986147,6986147,-0.29,-0.36529,79.3925,"February 14, 25",-0.0036528999999999997
2025-02-18,79.43,79.97,79.16,79.84,78.73,7754933,7754933,0.41000000000000003,0.5161800000000001,79.6,"February 18, 25",0.005161799999999999
2025-02-19,79.75,80.5,79.67,80.26,79.14,6256979,6256979,0.51,0.6395000000000001,80.045,"February 19, 25",0.006395
2025-02-20,80.0,80.44,79.29,80.25,79.13,8695668,8695668,0.25,0.3125,79.995,"February 20, 25",0.0031249999999999997
2025-02-21,80.26,80.53,79.88,80.27,79.15,7773743,7773743,0.01,0.01245951,80.235,"February 21, 25",0.0001245951
2025-02-24,80.5,80.51,79.51,79.87,78.76,7487000,7487000,-0.63,-0.78261,80.0975,"February 24, 25",-0.007826099999999999
2025-02-25,79.4,79.63,78.32,79.47,78.37,10918954,10918954,0.07,0.08816121,79.205,"February 25, 25",0.0008816121000000001
2025-02-26,79.62,80.5,79.36,79.8,78.69,7710965,7710965,0.18,0.22607000000000002,79.82,"February 26, 25",0.0022607
2025-02-27,79.58,79.76,77.95,78.03,76.95,12537642,12537642,-1.55,-1.9500000000000002,78.83,"February 27, 25",-0.0195
2025-02-28,78.54,79.25,78.12,79.22,78.12,10885000,10885000,0.68,0.8658,78.7825,"February 28, 25",0.008657999999999999
