date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,139.36,140.93,139.36,139.71,138.51,12639744,12639744,0.35000000000000003,0.25115000000000004,139.84,"January 07, 25",0.0025115
2025-01-08,139.97,140.64,138.69,140.43,139.22,7827400,7827400,0.46,0.32864000000000004,139.9325,"January 08, 25",0.0032863999999999997
2025-01-10,139.95,140.95,139.35,139.64,138.44,10344054,10344054,-0.31,-0.22151,139.9725,"January 10, 25",-0.0022151
2025-01-13,139.79,141.82,139.67,141.46,140.25,9422242,9422242,1.67,1.19,140.685,"January 13, 25",0.0119
2025-01-14,141.27,141.27,138.88,140.0,138.8,10277827,10277827,-1.27,-0.8989900000000001,140.355,"January 14, 25",-0.0089899
2025-01-15,140.39,141.24,139.77,140.57,139.36,11388426,11388426,0.18,0.12821000000000002,140.4925,"January 15, 25",0.0012821
2025-01-16,140.13,141.34,139.58,141.13,139.92,8512136,8512136,1.0,0.71362,140.545,"January 16, 25",0.0071362
2025-01-17,140.94,141.4,140.18,140.18,138.98,7668273,7668273,-0.76,-0.53924,140.675,"January 17, 25",-0.0053923999999999995
2025-01-21,140.92,142.51,140.9,142.5,141.28,7257829,7257829,1.58,1.12,141.7075,"January 21, 25",0.0112
2025-01-22,141.8,142.63,141.13,142.18,140.96,8189904,8189904,0.38,0.26798,141.935,"January 22, 25",0.0026798
2025-01-23,142.57,144.1,141.87,144.08,142.84,8032946,8032946,1.51,1.06,143.155,"January 23, 25",0.0106
2025-01-24,143.44,144.61,143.27,144.31,143.07,8127900,8127900,0.87,0.60653,143.9075,"January 24, 25",0.0060653
2025-01-27,145.1,147.58,144.97,147.55,146.28,12311304,12311304,2.45,1.69,146.3,"January 27, 25",0.016900000000000002
2025-01-28,147.54,147.74,146.48,146.52,145.26,9686428,9686428,-1.02,-0.6913400000000001,147.07,"January 28, 25",-0.0069134
2025-01-29,146.09,146.58,145.3,145.66,144.41,8159200,8159200,-0.43,-0.29434000000000005,145.9075,"January 29, 25",-0.0029433999999999997
