date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,226.58,227.25,221.57,222.38,221.3,2777007,2777007,-4.2,-1.85,224.445,"January 07, 25",-0.018500000000000003
2025-01-08,222.3,223.89,221.18,223.01,221.93,2654877,2654877,0.71,0.31939,222.595,"January 08, 25",0.0031939
2025-01-10,222.16,222.54,219.62,220.82,219.75,3434810,3434810,-1.34,-0.6031700000000001,221.285,"January 10, 25",-0.0060317
2025-01-13,219.14,222.1,218.3,222.07,220.99,2711005,2711005,2.93,1.34,220.4025,"January 13, 25",0.0134
2025-01-14,224.3,225.47,220.81,221.64,220.56,3381229,3381229,-2.66,-1.19,223.055,"January 14, 25",-0.0119
2025-01-15,226.75,227.47,225.18,227.28,226.18,3098776,3098776,0.53,0.23374000000000003,226.67,"January 15, 25",0.0023374
2025-01-16,226.89,226.89,225.15,226.05,224.95,2425986,2425986,-0.84,-0.37022000000000005,226.245,"January 16, 25",-0.0037021999999999997
2025-01-17,229.03,230.66,228.66,229.22,228.11,1942339,1942339,0.19,0.08295856,229.3925,"January 17, 25",0.0008295856000000001
2025-01-21,231.29,231.5,228.37,230.9,229.78,3018494,3018494,-0.39,-0.16862000000000002,230.515,"January 21, 25",-0.0016862
2025-01-22,230.41,231.39,229.64,230.03,228.91,2474403,2474403,-0.38,-0.16492,230.3675,"January 22, 25",-0.0016492
2025-01-23,229.69,231.42,229.08,231.42,230.3,1944400,1944400,1.73,0.75319,230.4025,"January 23, 25",0.007531899999999999
2025-01-24,231.47,231.71,229.57,230.01,228.89,1771911,1771911,-1.46,-0.63075,230.69,"January 24, 25",-0.0063075
2025-01-27,226.56,231.42,226.55,231.32,230.2,3534932,3534932,4.76,2.1,228.9625,"January 27, 25",0.021
2025-01-28,230.65,232.24,229.55,231.6,230.47,2605889,2605889,0.9500000000000001,0.41188,231.01,"January 28, 25",0.0041188
2025-01-29,231.79,232.5,230.18,230.94,229.82,3269081,3269081,-0.85,-0.36671000000000004,231.3525,"January 29, 25",-0.0036671
2025-01-30,234.01,234.57,231.45,233.2,232.07,2693211,2693211,-0.81,-0.34614,233.3075,"January 30, 25",-0.0034614
2025-01-31,233.49,235.85,231.72,232.17,231.04,2546388,2546388,-1.32,-0.56533,233.3075,"January 31, 25",-0.0056533
2025-02-03,227.14,230.09,225.21,229.1,227.99,3730069,3730069,1.96,0.8629,227.885,"February 03, 25",0.008629
2025-02-04,229.24,232.03,229.21,231.8,230.67,1993527,1993527,2.56,1.12,230.57,"February 04, 25",0.0112
2025-02-05,230.31,230.88,228.63,229.17,228.06,2951570,2951570,-1.1400000000000001,-0.49499000000000004,229.7475,"February 05, 25",-0.0049499
2025-02-06,229.82,230.69,228.67,230.08,228.96,3023255,3023255,0.26,0.11313000000000001,229.815,"February 06, 25",0.0011313
2025-02-07,228.52,230.26,225.4,225.58,224.48,2768250,2768250,-2.94,-1.29,227.44,"February 07, 25",-0.0129
