date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-07,108.94,110.06,108.28,108.75,106.8,12625900,12625900,-0.19,-0.17441,109.0075,"January 07, 25",-0.0017441
2025-01-08,107.31,107.71,106.01,106.93,105.01,17858110,17858110,-0.38,-0.35411000000000004,106.99,"January 08, 25",-0.0035410999999999997
2025-01-10,108.7,110.1,105.78,106.54,104.63,19304500,19304500,-2.16,-1.99,107.78,"January 10, 25",-0.0199
2025-01-13,107.13,109.63,107.13,109.29,107.33,17073400,17073400,2.17,2.02,108.295,"January 13, 25",0.020200000000000003
2025-01-14,108.79,109.76,107.83,109.72,107.75,11191200,11191200,0.93,0.8548600000000001,109.025,"January 14, 25",0.0085486
2025-01-15,110.05,111.73,109.47,111.51,109.51,14521100,14521100,1.46,1.33,110.69,"January 15, 25",0.013300000000000001
2025-01-16,111.19,111.69,110.55,111.32,109.33,10366600,10366600,0.13,0.11692000000000001,111.1875,"January 16, 25",0.0011692
2025-01-17,111.03,112.87,110.82,112.32,110.31,19298504,19298504,1.29,1.16,111.76,"January 17, 25",0.011600000000000001
2025-01-21,112.05,112.18,111.13,111.47,109.47,20416300,20416300,-0.58,-0.51763,111.7075,"January 21, 25",-0.0051763
2025-01-22,111.2,111.57,109.4,109.53,107.57,15718012,15718012,-1.67,-1.5,110.425,"January 22, 25",-0.015
2025-01-23,110.31,111.14,109.61,110.15,108.18,13726800,13726800,-0.16,-0.14505,110.3025,"January 23, 25",-0.0014505
2025-01-24,110.24,110.71,108.41,108.66,106.71,14235900,14235900,-1.58,-1.43,109.505,"January 24, 25",-0.0143
2025-01-27,109.01,110.45,108.39,110.17,108.2,15926700,15926700,1.16,1.06,109.505,"January 27, 25",0.0106
2025-01-28,110.41,110.87,107.79,108.04,106.1,15862029,15862029,-2.37,-2.15,109.2775,"January 28, 25",-0.021500000000000002
2025-01-29,107.71,108.78,107.47,108.67,106.72,12345523,12345523,0.96,0.8912800000000001,108.1575,"January 29, 25",0.0089128
2025-01-30,109.24,109.85,108.7,109.57,107.61,14346335,14346335,0.33,0.30209,109.34,"January 30, 25",0.0030209
2025-01-31,110.55,110.55,106.1,106.83,104.92,20381446,20381446,-3.7199999999999998,-3.36,108.5075,"January 31, 25",-0.033600000000000005
2025-02-03,106.64,107.3,105.32,107.09,105.17,14623200,14623200,0.45,0.42198,106.5875,"February 03, 25",0.0042198
2025-02-04,106.71,110.28,106.53,109.96,107.99,14835700,14835700,3.25,3.05,108.37,"February 04, 25",0.030500000000000003
2025-02-05,109.74,110.01,109.1,109.88,107.91,13364400,13364400,0.14,0.12757000000000002,109.6825,"February 05, 25",0.0012756999999999998
2025-02-06,110.77,111.05,107.99,108.43,106.49,13411401,13411401,-2.34,-2.11,109.56,"February 06, 25",-0.0211
2025-02-07,108.78,109.73,108.32,108.89,106.94,10051626,10051626,0.11,0.10112,108.93,"February 07, 25",0.0010111999999999999
2025-02-10,110.01,111.03,109.88,110.97,108.98,12142200,12142200,0.965,0.87265,110.4725,"February 10, 25",0.0087265
2025-02-11,111.6,112.51,110.82,111.67,109.67,12713127,12713127,0.07,0.06272401,111.65,"February 11, 25",0.0006272401
2025-02-12,110.05,110.23,107.18,107.35,106.37,18244122,18244122,-2.7,-2.45,108.7025,"February 12, 25",-0.0245
2025-02-13,107.15,108.41,106.52,108.13,107.14,15460000,15460000,0.98,0.91461,107.5525,"February 13, 25",0.009146099999999999
2025-02-14,108.52,110.23,108.1,108.24,107.25,15733529,15733529,-0.28,-0.25802,108.7725,"February 14, 25",-0.0025802
2025-02-18,108.63,110.99,108.32,110.14,109.13,20060300,20060300,1.51,1.3900000000000001,109.52,"February 18, 25",0.013900000000000001
2025-02-19,110.76,112.13,110.06,110.3,109.29,10964700,10964700,-0.455,-0.41531,110.8125,"February 19, 25",-0.0041531
2025-02-20,110.57,112.42,109.95,112.0,110.98,16325803,16325803,1.43,1.29,111.235,"February 20, 25",0.0129
2025-02-21,111.32,111.85,110.56,110.69,109.68,14710000,14710000,-0.63,-0.56594,111.105,"February 21, 25",-0.005659399999999999
2025-02-24,110.93,111.86,110.32,111.27,110.25,13153500,13153500,0.34500000000000003,0.3065,111.095,"February 24, 25",0.003065
2025-02-25,111.3,112.13,108.89,109.73,108.73,14497000,14497000,-1.57,-1.4100000000000001,110.5125,"February 25, 25",-0.014100000000000001
2025-02-26,109.74,109.87,108.52,109.46,108.46,10446405,10446405,-0.28,-0.25515000000000004,109.3975,"February 26, 25",-0.0025515
2025-02-27,110.01,111.29,109.28,110.15,109.14,15293200,15293200,0.14,0.12726,110.1825,"February 27, 25",0.0012726
2025-02-28,110.11,111.58,109.34,111.33,110.31,18821700,18821700,1.22,1.11,110.59,"February 28, 25",0.0111
2025-03-03,111.7,112.16,106.51,107.76,106.78,18706900,18706900,-3.94,-3.5300000000000002,109.5325,"March 03, 25",-0.035300000000000005
2025-03-04,106.36,108.96,105.94,107.54,106.56,19394905,19394905,1.18,1.11,107.2,"March 04, 25",0.0111
2025-03-05,105.84,106.33,103.67,105.44,104.48,24822245,24822245,-0.4,-0.37793000000000004,105.32,"March 05, 25",-0.0037792999999999998
2025-03-06,105.43,108.11,104.36,107.62,106.64,17150233,17150233,2.19,2.08,106.38,"March 06, 25",0.020800000000000003
2025-03-07,108.41,110.4,108.3,109.02,108.03,19625000,19625000,0.61,0.5626800000000001,109.0325,"March 07, 25",0.0056267999999999995
2025-03-10,109.28,112.57,109.08,111.8,110.78,22749100,22749100,2.52,2.31,110.6825,"March 10, 25",0.023100000000000002
2025-03-11,111.92,112.1,108.79,109.16,108.16,19904735,19904735,-2.76,-2.47,110.4925,"March 11, 25",-0.0247
2025-03-12,109.05,110.13,108.42,109.13,108.13,14051500,14051500,0.08,0.07336084,109.1825,"March 12, 25",0.0007336084
2025-03-13,108.33,110.82,107.63,108.67,107.68,17767836,17767836,0.34,0.31386000000000003,108.8625,"March 13, 25",0.0031386
2025-03-14,108.94,112.18,108.31,111.9,110.88,15890100,15890100,2.96,2.7199999999999998,110.3325,"March 14, 25",0.027200000000000002
2025-03-17,111.8,114.5,111.73,113.76,112.72,19908800,19908800,1.96,1.75,112.9475,"March 17, 25",0.0175
2025-03-18,114.09,114.54,112.57,113.64,112.6,15998713,15998713,-0.45,-0.39443000000000006,113.71,"March 18, 25",-0.0039442999999999995
2025-03-19,114.2,115.82,113.83,115.41,114.36,17315001,17315001,1.21,1.06,114.815,"March 19, 25",0.0106
2025-03-20,114.72,116.47,114.21,115.9,114.84,16230800,16230800,1.18,1.03,115.325,"March 20, 25",0.0103
2025-03-21,115.5,115.99,114.35,115.5,114.45,41102800,41102800,0.0,0.0,115.335,"March 21, 25",0.0
2025-03-24,115.68,116.91,115.58,115.8,114.74,14207500,14207500,0.12,0.10373,115.9925,"March 24, 25",0.0010373
2025-03-25,116.43,117.64,115.96,116.59,115.53,12081800,12081800,0.16,0.13742000000000001,116.655,"March 25, 25",0.0013742
2025-03-26,117.68,119.18,117.68,118.27,117.19,14112756,14112756,0.59,0.50136,118.2025,"March 26, 25",0.0050136
2025-03-27,118.1,119.07,117.26,117.89,116.81,12740800,12740800,-0.21,-0.17782,118.08,"March 27, 25",-0.0017782
2025-03-28,118.1,118.46,117.24,117.73,116.66,10233433,10233433,-0.37,-0.31329,117.8825,"March 28, 25",-0.0031328999999999997
2025-03-31,117.79,119.91,117.79,118.93,117.84,21652345,21652345,1.1400000000000001,0.9678200000000001,118.605,"March 31, 25",0.0096782
2025-04-01,119.22,119.28,117.93,119.04,117.95,12425434,12425434,-0.18,-0.15098,118.8675,"April 01, 25",-0.0015098
2025-04-02,118.39,118.84,117.66,118.67,117.59,12614605,12614605,0.28,0.23651000000000003,118.39,"April 02, 25",0.0023650999999999998
2025-04-03,114.37,115.45,112.23,112.43,111.4,21204636,21204636,-1.94,-1.7000000000000002,113.62,"April 03, 25",-0.017
