,symbol,best,base,worst,relative_best,relative_base,relative_worst
0,9613.T,4049.4327996663824,2717.8833151281433,1275.8728334462267,-101.46431839136231,-35.218075379509614,36.52373962954096
1,4819.T,5404.386701256444,4131.628928750283,2858.871156244121,-32.460458364128534,-1.2654149203500782,29.92962852342841
2,3683.T,1617.7014215189931,1490.9702933319168,1363.6302682214366,-130.114000216073,-112.08681270724279,-93.97301112680464
3,APX.AX,7.20903115670281,5.367790824265475,3.5265504918281394,-155.63940271995781,-90.34719234983955,-25.054981979721262
4,2158.T,339.16707072078054,312.6901463048147,264.8077714038667,45.64630276910569,49.88939963063868,57.562857146816235
5,4055.T,1078.9605761991143,907.6397850059725,674.6148326136405,57.72098055646104,64.43417770352772,73.5652495057351
6,3565.T,695.553481984083,627.4353759346366,546.1770805343448,-12.005391623845888,-1.0362924210364843,12.048779302037877
7,3996.T,304.5280563337912,252.72869064305794,200.9293249523247,39.09438873324176,49.45426187138841,59.814135009535065
8,3916.T,1770.2786780458623,1542.1724472444826,1294.125689576872,-17.5483849964052,-2.401888927256478,14.068679310964674
9,9719.T,2265.4338576842183,2063.615904226091,1841.8130415563455,-0.7307184386046381,8.24295668181009,18.10524492857512
10,4739.T,3117.152469653301,2606.1247217314667,2137.4771280591876,13.412431398519415,27.60764661857037,40.62563533168923
11,4442.T,2144.217391113967,1805.3073358134884,1457.5723597883489,27.828428437766167,39.23570057847565,50.940008085212085
12,7595.T,4887.537861641456,4134.002438210355,3447.0978288715264,-20.829118952817215,-2.2003074959296596,14.781265046439396
13,3857.T,2047.6504702994698,1477.467172527706,907.283874755942,-198.05683701593446,-115.06072380315953,-32.06461059038456
14,7060.T,1903.6626204809834,1371.7037288290758,771.0649026663228,-154.50035033168228,-83.38285144773741,-3.0835431372089355
15,3962.T,1131.7702225468008,798.5731358344057,497.57307387607204,42.98386788177326,59.76961532320375,74.9333464042281
16,DTL.AX,14.353943675105356,9.552770731239491,3.002865441393371,-101.3175831010569,-33.979954154831574,57.8840751557732
17,6702.T,25650.749006216472,20454.03815299901,15674.48280464931,-41.28751862416124,-12.663388339295025,13.662997495735008
18,4307.T,2519.544274537212,2050.4827383540455,1532.0815190536216,28.523566679795405,41.830276926126366,56.53669449493272
19,3923.T,167.54642047849038,144.68016965459748,119.27726242048081,92.61910041944977,93.62642424429085,94.7454950475559
20,4444.T,1159.4264940206842,950.4250850830052,788.6373893967594,33.74705748453233,45.689995138113986,54.935006320185174
21,3940.T,143.39193987390917,113.44635395660086,89.14572951967688,-22.557213567443732,3.0373043105975563,23.80706878660096
22,3626.T,3263.541886339838,3033.077750535849,2793.139281937094,17.378686421776248,23.21322150542154,29.28761311551661
23,3925.T,1544.793500565041,1198.8307615372562,739.3761664151684,33.785104990782635,48.61419796239794,68.30792257114581
24,6050.T,2325.6872554561323,2070.8742991217723,1779.1994839300392,-15.01915209970981,-2.417126563885871,12.00793848021567
